#{"t_start": 1680079628.0277634, "env_id": null}
r,l,t
-5407.829867,500,128.750197
-5227.272271,500,255.818629
-5155.758369,500,281.834995
-5256.580308,498,307.930312
-4305.990622,414,329.6507
-4746.434335,446,352.873367
-5270.948353,500,378.899175
-5157.679955,500,508.059966
-4986.799845,497,636.958931
-5117.067071,500,663.825836
-4999.353333,500,691.277352
-4763.630896,500,717.998534
-4790.015251,500,744.898442
-5054.380165,500,771.779028
-4775.068582,500,900.980681
-4226.975371,500,1027.928166
-3563.539641,500,1053.249293
-3664.160029,500,1079.592565
-3838.604655,500,1105.682453
-3777.851112,500,1131.884941
-3740.383455,500,1157.331872
-2776.833955,464,1259.916898
-2435.255025,500,1387.235627
-2139.876586,453,1419.436802
-2226.915375,482,1444.321845
-2354.642349,500,1470.735636
-2316.71271,500,1493.645567
-2341.032357,498,1519.609892
-2342.850888,500,1647.121622
-2214.69339,483,1770.698039
-2223.310941,500,1800.248362
-2298.275869,500,1826.0185
-2096.129118,463,1850.127301
-2259.427957,500,1875.881622
-2265.449352,500,1902.066633
-2294.351231,500,2029.744462
-2294.60151,500,2154.739112
-2103.525233,458,2178.93996
-2293.030363,500,2205.156488
-2046.771086,454,2229.103095
-2275.167037,500,2255.339768
-2280.246591,500,2281.368026
-2271.833865,500,2409.608697
-1772.291,388,2510.195951
-2266.005431,498,2565.083839
-2017.64457,441,2588.592844
-2235.629484,500,2614.61839
-2003.156106,443,2637.634799
-2121.92733,466,2662.002864
-1867.688857,408,2767.148018
-2280.328514,500,2894.673535
-2288.994572,500,2943.919467
-1867.4471,414,2965.289733
-1906.282973,423,2987.533903
-2169.3702,484,3013.006705
-2151.1,478,3038.408822
-2228.984375,498,3167.299028
-2021.4023,451,3282.639947
-2083.153534,464,3319.010914
-2038.021569,449,3342.569059
-1820.562259,397,3362.672872
-2244.506435,500,3388.551415
-2262.476344,500,3414.528417
-1634.7341,358,3496.999289
-2155.376471,476,3607.818956
-2182.4355,488,3676.001148
-1955.761031,426,3698.342812
-2240.153176,500,3724.31538
-2238.4337,500,3750.514244
-2240.939578,500,3776.501319
-2237.2899,500,3903.825256
-2228.1969,500,4030.471429
-2238.655517,500,4056.648761
-2240.809259,500,4082.773492
-2071.35,461,4106.774771
-2229.890273,500,4132.801752
-2003.282578,443,4156.104836
-2233.5759,500,4284.836785
-2237.060311,500,4413.766614
-1902.268,421,4435.676709
-2253.768408,500,4461.934654
-2245.434448,500,4488.052356
-2225.6713,499,4514.207796
-2256.924752,500,4540.209896
