#{"t_start": 1675253663.264168, "env_id": null}
r,l,t
-451.409842,75,2.905751
-864.8896,178,3.733866
-2025.679021,500,6.074841
-1963.4494,500,8.397017
-1333.006479,434,10.409771
-1205.267861,500,12.742192
-773.447021,337,14.330605
-442.642105,192,15.24601
-708.995316,365,16.975703
-384.525968,171,17.80119
-548.102501,266,19.083331
-1079.864275,500,21.408803
-983.33105,500,23.707494
-588.5243,292,25.065136
-552.504579,289,26.40815
-618.044789,380,28.178202
-256.505278,132,28.778613
-179.494389,110,29.275745
-354.453623,203,30.207321
-189.764956,95,30.636371
-446.122871,247,31.756978
-434.17215,236,32.844699
-903.238051,500,35.161406
-515.1915,270,36.406978
-298.468456,157,37.12442
-418.326046,184,37.975449
-345.762786,155,38.685887
-436.274884,219,39.720053
-219.562483,97,40.164897
-341.812989,151,40.859004
-232.692021,127,41.444836
-361.340223,185,42.303062
-187.924878,96,42.735294
-270.529511,161,43.46653
-527.457101,338,45.025571
-408.050544,243,46.120559
-483.510438,292,47.457482
-208.127133,98,47.8948
-303.723216,134,48.508324
-260.329032,133,49.120658
-273.2738,169,49.883778
-328.556,185,50.738746
-126.613333,42,50.926302
-246.043567,112,51.428142
-174.037778,62,51.711763
-317.215346,197,52.60619
-145.670877,43,52.804794
-197.283107,94,53.234335
-183.397444,93,53.655287
-253.107111,144,54.307946
-326.296318,214,55.285284
-187.009289,100,55.734399
-423.226078,297,57.100917
-201.599263,102,57.573586
-448.658205,254,58.740911
-250.077347,120,59.291331
-309.577444,132,59.889231
-177.024416,53,60.130467
-382.887873,243,61.238499
-298.6207,169,62.000868
-219.1275,112,62.50347
-303.680867,202,63.420288
-208.5994,124,63.975188
-131.275556,60,64.24595
-260.895153,185,65.083033
-153.755556,81,65.453479
-318.230632,206,66.397536
-221.946122,144,67.047622
-379.546337,279,68.325165
-132.183433,53,68.567698
-300.503041,204,69.492895
-168.534147,121,70.04284
-129.481478,63,70.330382
-122.779778,81,70.697541
-120.8,77,71.043385
-113.175556,65,71.337168
-100.173278,99,71.786339
-108.035556,81,72.15448
-106.846667,85,72.538504
-98.5637,139,73.166083
-106.527967,118,73.700641
-97.42,42,73.888061
-97.368889,79,74.247739
-99.353289,80,74.609168
-98.467367,55,74.858048
-95.424922,100,75.315948
-105.423392,62,75.595749
-103.028889,55,75.844677
-100.273333,99,76.293578
-104.411111,101,76.748024
-102.424444,129,77.331997
-96.406667,94,77.758271
-107.591111,122,78.305415
-99.808889,55,78.555403
-100.077778,33,78.707434
-98.913333,84,79.096055
-121.157778,174,79.889637
-100.055511,84,80.28092
-105.637778,77,80.63472
-97.906667,57,80.893673
-107.344444,82,81.266743
-100.455556,86,81.662976
-104.468433,116,82.184955
-100.226667,57,82.445824
-103.811111,51,82.677877
-104.611111,103,83.146712
-100.615556,55,83.39451
-99.124444,49,83.617214
-100.611111,46,83.823819
-107.455556,86,84.211083
-96.433333,49,84.433678
-100.666667,71,84.752841
-119.988889,105,85.227353
-108.233333,103,85.695155
-95.702222,92,86.108516
-99.644444,72,86.43821
-100.6,107,86.919078
-101.908889,75,87.258307
-98.4,74,87.597634
-107.011811,153,88.288723
-94.044444,77,88.640552
-102.522222,117,89.164547
-99.809667,85,89.549343
-99.844444,56,89.805785
-107.666667,80,90.167882
-100.962222,84,90.548152
-99.333333,62,90.832654
-96.266667,58,91.090793
-100.466667,69,91.403801
-97.533333,69,91.71711
-103.155556,103,92.179264
-110.888889,120,92.723063
-97.622222,127,93.302353
-99.988889,80,93.665602
-99.855556,66,93.96258
-102.5,75,94.300935
-99.7,57,94.556662
-100.511111,54,94.802111
-100.933333,51,95.031722
-98.8,45,95.235541
-111.766667,119,95.772527
-103.955556,95,96.208023
-100.411111,61,96.484328
-104.5,61,96.765096
-102.555556,78,97.113352
-111.788889,101,97.567499
-97.222222,67,97.874052
-101.328889,119,98.41308
-98.888889,79,98.764869
-104.511111,85,99.150941
-99.013333,132,99.751103
-101.655556,80,100.112467
-100.111111,95,100.541266
-99.722222,50,100.768028
-102.444444,72,101.091728
-104.588889,95,101.52171
-98.1,90,101.927874
-105.133333,65,102.223868
-100.177778,92,102.643119
-101.377778,56,102.895076
-98.311111,78,103.243414
-97.133333,77,103.596488
-95.277778,46,103.802993
-101.644444,89,104.206365
-111.402222,100,104.657336
-99.537778,58,104.915636
-101.622222,67,105.223361
-99.182222,75,105.562289
-105.22,82,105.930564
-96.1,63,106.218405
-107.811111,92,106.630087
-101.46,61,106.904806
-112.5,80,107.265589
-96.52,107,107.752549
-98.222222,94,108.178744
-99.526667,53,108.414317
-103.924444,95,108.843447
-104.912056,69,109.156184
-102.788889,60,109.426816
-101.922222,91,109.839775
-98.757778,74,110.175737
-101.522222,99,110.62495
-99.104444,64,110.915121
-98.204444,96,111.34631
-104.644444,111,111.845834
-97.022222,46,112.052155
-99.244444,80,112.413647
-98.982222,59,112.68222
-103.7,66,112.979117
-109.591111,69,113.292566
-105.98,58,113.557279
-101.888889,79,113.909237
-99.908889,92,114.32901
-105.66,127,114.900424
-101.054033,57,115.162915
-104.737778,73,115.487517
-99.255556,35,115.646563
-98.044444,80,116.008585
-104.222222,69,116.321417
-102.222222,80,116.683957
-102.188889,60,116.955218
-110.650289,46,117.162843
-102.233333,52,117.401782
-102.422222,74,117.73095
-110.1,80,118.091488
-99.444444,119,118.62954
-103.411111,81,118.994122
-101.255556,97,119.443644
-103.633333,66,119.741043
-101.933333,82,120.108573
-101.255556,45,120.312215
-102.5,93,120.73532
-102.708889,63,121.023073
-94.666667,52,121.255826
-96.655556,66,121.558173
-103.137778,76,121.904596
-97.322222,64,122.19547
-103.183989,63,122.483233
-105.177778,59,122.751311
-102.355556,88,123.1453
-99.111111,48,123.365127
-100.582222,157,124.070172
-100.544444,71,124.389802
-101.488889,97,124.832842
-104.848889,125,125.397012
-101.048889,51,125.626594
-106.195556,86,126.012918
-100.344444,63,126.300544
-105.446667,123,126.851974
-100.315556,78,127.208248
-113.844444,101,127.662315
-106.966667,89,128.065553
-99.0,69,128.379175
-100.1,44,128.57966
-104.411111,101,129.033635
-101.833333,68,129.336967
-104.111111,78,129.691916
-99.642222,40,129.872735
-101.228889,72,130.195321
-101.577778,39,130.373307
-102.626667,102,130.837813
-109.344444,66,131.134733
-99.657778,52,131.367278
-100.195556,55,131.616033
-104.046667,88,132.015732
-102.188889,51,132.246063
-99.7,70,132.56235
-127.22,129,133.146401
-100.58,109,133.63963
-91.748889,92,134.053355
-93.428889,118,134.588553
-94.068889,96,135.020897
-101.086667,76,135.364377
-113.917778,96,135.797311
-105.428889,89,136.21286
-98.946667,69,136.530012
-111.22,96,136.962642
-100.426667,86,137.351483
-113.369833,113,137.86398
-100.031111,64,138.15465
-103.273333,121,138.699604
-107.213333,108,139.184598
-99.988889,82,139.559195
-111.866667,70,139.876279
-116.717778,147,140.544276
-100.344444,90,140.952691
-107.155556,76,141.295641
-100.355556,93,141.718579
-106.653333,93,142.141642
-108.424444,134,142.740204
-104.56,86,143.136823
-100.811111,94,143.561585
-108.586667,129,144.149816
-96.98,116,144.678436
-105.837778,67,144.985331
-104.58,110,145.482098
-105.208889,61,145.75669
-113.233333,97,146.191802
-107.493333,111,146.698449
-103.188889,62,146.976282
-95.4,51,147.206049
-98.044444,39,147.383721
-108.282222,90,147.78953
-99.517778,65,148.083364
-105.631111,144,148.744653
-95.7444,79,149.104144
-102.693333,86,149.491596
-91.782222,68,149.795255
-114.202222,119,150.336497
-106.112667,101,150.799583
-101.404444,85,151.184979
-98.431111,115,151.703817
-117.406667,142,152.350326
-107.953333,123,152.913971
-105.524444,67,153.226653
-108.466667,88,153.620027
-98.328889,82,153.994453
-111.086667,95,154.423629
-107.855556,76,154.76586
-98.4,91,155.184812
-102.137778,82,155.564407
-99.935556,108,156.048337
-101.422222,62,156.332793
-103.606667,74,156.670653
-105.777778,67,156.981433
-97.377778,46,157.189192
-111.045222,127,157.75935
-97.033333,48,157.979849
-107.030189,92,158.392468
-101.6,55,158.640933
-101.246667,84,159.024963
-101.366667,60,159.299964
-116.431111,133,159.902352
-102.677778,118,160.433104
-100.34,81,160.804039
-104.002222,77,161.157649
-106.111111,75,161.502633
-105.055556,70,161.818451
-100.737778,53,162.060324
-102.953333,61,162.336268
-99.676811,34,162.491642
-102.677778,92,162.904576
-108.515556,118,163.441014
-99.74,58,163.706155
-101.322222,72,164.037679
-95.222222,91,164.44717
-98.488889,102,164.916513
-97.888889,73,165.249304
-98.333333,99,165.697228
-110.4,84,166.071088
-104.455556,76,166.420894
-97.688889,67,166.720599
-99.511111,73,167.054176
-98.895556,57,167.309288
-99.477778,54,167.556559
-98.873333,69,167.869292
-100.22,87,168.259678
-104.944444,89,168.662356
-97.493333,75,169.001178
-94.044444,69,169.31459
-102.755556,46,169.521517
-100.035556,75,169.860049
-112.517778,180,170.67096
-105.182222,74,171.00705
-101.174811,95,171.435425
-105.957778,71,171.754835
-95.993333,86,172.141493
-97.186667,79,172.500695
-105.577778,133,173.097456
-97.744444,62,173.384566
-107.542222,86,173.772629
-103.997778,77,174.117545
-106.3,74,174.453509
-99.644444,59,174.721328
-96.762222,62,174.999034
-102.911111,100,175.451613
-102.497778,84,175.832539
-102.311111,133,176.441221
-102.811111,103,176.902171
-103.64,60,177.173422
-99.111111,68,177.483546
-106.997778,74,177.819073
-105.448889,93,178.235401
-112.824444,111,178.741985
-101.1,83,179.112725
-99.377778,41,179.297338
-98.733333,66,179.600642
-98.562222,91,180.010954
-99.826667,72,180.334461
-100.08,89,180.738332
-100.68,118,181.273167
-112.224444,110,181.769325
-99.444444,61,182.043514
-107.311111,109,182.536487
-101.055556,72,182.85895
-98.533333,90,183.271798
-104.524444,90,183.678104
-101.716956,78,184.032986
-97.917778,70,184.348533
-110.586667,114,184.856899
-100.188889,49,185.080951
-100.868889,58,185.346022
-104.633333,56,185.603039
-100.511111,54,185.850307
-100.333333,42,186.037889
-97.831111,73,186.371019
-110.097778,115,186.888879
-100.344444,101,187.346318
-95.077778,66,187.642946
-99.611111,59,187.910419
-100.933333,39,188.088562
-100.822222,57,188.344101
-98.855556,56,188.59585
-103.455556,63,188.883597
-101.688889,64,189.173825
-100.133333,64,189.466154
-99.722222,94,189.884629
-100.046211,79,190.243703
-100.511111,93,190.666978
-100.1,77,191.012713
-118.944444,165,191.75702
-100.577778,55,192.00576
-103.544444,76,192.348558
-104.233333,102,192.813915
-99.655556,74,193.149561
-115.148889,91,193.558793
-100.244444,59,193.827242
-99.457778,68,194.131356
-116.066667,117,194.663738
-95.735556,129,195.240716
-103.255556,116,195.768747
-95.137778,51,196.002745
-100.977778,125,196.567525
-101.853333,88,196.96109
-102.955556,48,197.18159
-99.92,91,197.591747
-100.044444,52,197.830642
-97.177778,41,198.014872
-107.337778,91,198.424728
-102.086667,84,198.811017
-98.577778,72,199.135019
-100.855556,69,199.448248
-107.911111,96,199.880877
-99.5,44,200.08147
-104.677778,73,200.413987
-98.133333,55,200.662714
-116.677778,93,201.082191
-102.2,78,201.440413
-97.855556,69,201.756342
-97.435556,89,202.1557
-104.077778,87,202.555323
-102.788889,66,202.854155
-101.288889,67,203.157312
-102.211111,75,203.499572
-102.922222,66,203.805379
-101.588889,73,204.133713
-105.244444,58,204.400524
-97.922222,51,204.630545
-116.833918,91,205.041757
-105.522222,97,205.490792
-109.1,132,206.090391
-108.046667,87,206.484994
-105.008889,62,206.772558
-102.088889,62,207.053569
-97.766667,46,207.26328
-96.944444,60,207.53756
-99.388889,81,207.914343
-105.155556,108,208.40282
-102.166667,70,208.722974
-97.944444,45,208.930851
-97.388889,139,209.56565
-103.626667,68,209.880567
-115.455556,167,210.640909
-102.522222,73,210.977374
-110.444444,97,211.417809
-100.111111,42,211.603768
-110.4,98,212.049807
-101.911111,45,212.254613
-106.066667,101,212.709341
-102.333333,85,213.093451
-99.655556,74,213.430083
-100.731111,48,213.650532
-100.355556,77,213.996514
-106.222222,63,214.283709
-99.5,67,214.585476
-101.722222,85,214.970054
-105.848889,85,215.355126
-109.633333,92,215.847051
-109.244444,112,216.357584
-102.266667,55,216.606391
-102.844444,86,216.994031
-114.633333,104,217.464961
-105.577778,113,217.972306
-99.066667,37,218.144373
-102.877778,77,218.490957
-110.315556,114,219.00826
-107.411111,76,219.366506
-103.522222,100,219.821825
-99.733333,58,220.088347
-106.946667,103,220.554033
-98.833333,70,220.873089
-109.057778,88,221.276546
-104.288889,91,221.693013
-100.822222,74,222.032724
-111.744444,120,222.58418
-101.426667,77,222.941542
-99.911111,64,223.234375
-103.177778,91,223.650967
-100.333333,63,223.942209
-97.866667,66,224.243012
-95.971111,88,224.647548
-105.826667,126,225.230921
-110.444444,100,225.691569
-101.777778,67,226.002217
-99.277778,51,226.245448
-103.433333,82,226.613967
-97.944444,61,226.888247
-100.206667,83,227.265786
-103.06,171,228.047215
-107.075556,85,228.443734
-100.806667,58,228.709029
-97.766667,78,229.057715
-101.242222,104,229.529537
-100.88,46,229.73659
-100.628889,65,230.029931
-97.295556,85,230.414307
-107.211111,91,230.845647
-100.655556,82,231.224352
-100.633333,82,231.596899
-97.697778,47,231.816409
-101.455556,57,232.074424
-97.657778,77,232.429323
-103.022222,67,232.742083
-99.133333,59,233.014291
-109.355556,136,233.633603
-97.388889,76,233.979872
-104.022222,91,234.394076
-107.073333,100,234.850654
-104.086667,61,235.220348
-103.555556,84,235.623223
-105.886667,92,236.047662
-97.811111,57,236.306083
-109.308889,120,236.853795
-100.388889,78,237.212671
-105.068889,69,237.52391
-113.511111,124,238.095467
-98.214811,98,238.558577
-97.137778,57,238.823416
-100.673333,81,239.20221
-100.757778,69,239.527757
-106.044444,68,239.849981
-100.471111,55,240.108287
-103.368889,93,240.540317
-96.786667,73,240.92391
-100.253333,51,241.163823
-98.322222,72,241.503752
-111.408889,73,241.832335
-100.811111,70,242.153786
-98.022222,63,242.453152
-110.862222,101,242.914048
-106.055556,85,243.303056
-98.688889,69,243.620199
