#{"t_start": 1675962924.7094011, "env_id": null}
r,l,t
-3611.493462,375,2.63027
-4453.7428,455,5.719026
-2479.3959,264,7.537105
-1214.459662,339,9.904895
-446.059818,254,11.710331
-482.03534,340,14.086625
-560.997322,359,16.639499
-424.385738,298,18.705139
-462.048628,317,20.943927
-455.93826,320,23.198214
-487.725261,371,25.784916
-447.409506,319,28.032685
-379.470271,244,29.739478
-381.787315,265,31.593579
-390.224159,277,33.543104
-426.147456,329,35.817491
-444.356236,319,38.058656
-338.856863,231,39.678613
-353.4679,271,41.555889
-404.372347,304,43.667331
-386.3996,283,45.621992
-412.83117,278,47.589101
-402.003225,301,49.691821
-242.38,152,50.743674
-348.336033,243,52.437592
-377.42187,272,54.340319
-517.150196,384,57.006564
-552.829373,462,60.231776
-424.591011,324,62.506568
-433.677306,301,64.629197
-477.186929,346,67.079583
-294.18,216,68.574105
-342.3,244,70.273612
-355.457967,260,72.096598
-404.090724,290,74.125269
-421.923618,332,76.437129
-393.707059,301,78.528549
-395.463647,287,80.519145
-403.046808,304,82.632776
-415.74,342,84.986358
-303.23098,209,86.45067
-304.682005,198,87.847451
-362.8423,286,89.828321
-513.126836,370,92.425913
-333.560776,237,94.080489
-346.345457,258,95.876678
-417.051478,306,97.988747
-353.503237,258,99.775098
-399.686686,280,101.735543
-331.78,238,103.382579
-449.988344,338,105.767058
-328.2147,242,107.450628
-378.580302,262,109.286291
-338.88,265,111.12091
-400.212,298,113.191675
-267.28,193,114.52264
-399.34,303,116.622573
-380.912941,285,118.605548
-458.783529,360,121.132251
-393.109412,304,123.255587
-359.5278,261,125.074479
-336.14,259,126.882696
-407.3081,313,129.058698
-340.88,247,130.779341
-319.72,252,132.527829
-375.504857,278,134.468945
-389.58,318,136.670428
-359.5746,280,138.604116
-348.68,273,140.489942
-311.54,223,142.03237
-309.8,227,143.609604
-277.22,205,145.030298
-426.334649,320,147.265206
-445.794637,353,149.730304
-286.132157,199,151.116054
-310.12,242,152.790019
-435.432926,350,155.226954
-369.9,291,157.246727
-424.488627,327,159.531435
-429.3,363,162.028245
-377.38,268,163.898711
-317.92,239,165.55374
-376.66,300,167.623057
-325.956471,248,169.349635
-309.42,229,170.932997
-350.583529,269,172.808446
-299.92,209,174.261429
-446.1588,355,176.724193
-334.153333,258,178.52496
-339.861569,265,180.358689
-419.48,312,182.526918
-386.56,291,184.545525
-361.94,272,186.425072
-351.18,279,188.355147
-362.144706,289,190.362335
-398.8,303,192.466574
-414.22,329,194.746139
-411.003922,323,196.989261
-410.34,330,199.272001
-382.40549,310,201.423385
-355.8,278,203.39905
-386.889804,295,205.459764
-351.12,269,207.323361
-297.1,216,208.819191
-385.48,296,210.874147
-405.24,334,213.178233
-371.14,294,215.209761
-511.36,391,217.892118
-339.38,251,219.63491
-346.8,257,221.392207
-269.02,186,222.682001
-313.08,237,224.328909
-303.36,236,225.95442
-313.94,239,227.610904
-315.9,222,229.148475
-425.729683,333,231.474828
-325.84,241,233.139816
-388.3,310,235.27889
-239.98,165,236.416016
-413.02,323,238.64743
-345.908627,256,240.449254
-401.88,333,242.736007
-395.62,308,244.879552
-333.46,247,246.58914
-252.62,169,247.76416
-368.23098,298,249.842196
-291.18,212,251.308372
-325.7,242,252.982989
-326.46,247,254.692966
-351.42,269,256.557559
-311.5021,225,258.120872
-313.42,235,259.747572
-387.66,301,261.826771
-344.0871,257,263.608705
-409.38,326,265.864714
-299.48,231,267.461678
-375.62,294,269.496284
-321.46,228,271.0813
-266.1,190,272.39859
