#{"t_start": 1675293467.4531972, "env_id": null}
r,l,t
-5246.856025,500,16.965729
-5423.567422,500,31.240094
-5278.308829,500,46.081191
-3518.89802,500,60.819219
-884.707363,477,74.457191
-617.690524,500,88.385996
-568.522418,466,101.771025
-662.047853,500,115.558995
-530.874455,415,127.120854
-560.270544,431,138.824052
-567.554455,467,151.457811
-593.37782,472,164.900572
-515.302574,428,177.100824
-536.69,500,190.748631
-593.155348,463,203.410753
-552.2,466,215.822385
-559.065035,500,229.272836
-572.202277,500,243.237121
-619.48346,457,255.758904
-578.017297,454,268.199385
-586.2302,489,282.015024
-612.648417,495,295.437513
-640.221347,488,308.58627
-501.575644,421,320.39565
-565.466255,447,332.977382
-611.326941,500,347.081255
-561.402997,453,359.973236
-511.658051,408,371.252493
-546.0942,463,384.594295
-617.110099,492,398.295817
-569.469808,500,412.346803
-546.3578,452,424.79157
-587.038218,500,438.241169
-556.5242,459,451.359961
-514.99,421,462.770141
-577.018416,500,476.571268
-562.202871,500,490.568843
-524.183267,417,502.299905
-608.6053,500,516.269709
-507.38,430,528.121328
-539.25,451,539.933178
-563.009524,500,553.480972
-463.32,372,563.681945
-580.02,479,577.235131
-580.14,500,590.395807
-581.7565,500,603.877793
-560.832574,471,617.270682
-524.3632,429,629.120667
-548.63,446,641.712169
-556.461,500,655.330528
-596.176436,500,668.818459
-533.12,446,681.108974
-512.09,410,692.335081
-546.126832,441,704.751928
-522.64,439,716.357343
-575.98,476,729.499949
-591.73,500,743.335877
-556.5,500,757.035477
-565.242079,500,770.65
-589.57,500,784.81216
-546.52,455,797.312235
-540.59901,460,810.375327
-536.409901,460,823.329156
-506.38,399,833.899084
-537.258218,460,846.588673
-604.21,497,860.272004
-578.97,500,874.610497
-523.16941,423,886.292545
-515.21,424,898.407395
-556.3991,460,911.432721
-502.21,438,922.95256
-574.63,491,936.489599
-472.29,378,947.129249
-528.9951,456,959.880952
-557.81,500,973.25017
-546.16,465,986.451705
-575.701683,500,1000.102729
-553.052376,452,1012.763924
-465.94,394,1023.55697
-491.2792,398,1034.711187
-551.14,500,1048.228193
-549.76,495,1061.65688
-623.52901,500,1075.997679
-467.74,374,1086.413897
-574.22,500,1100.40301
-570.5602,500,1114.236149
-548.93,500,1127.428524
-541.61,444,1139.722279
-574.4381,483,1153.250353
-562.74,500,1166.596366
-590.18,500,1180.574906
-489.18,409,1191.890027
-589.233663,500,1206.124802
-542.79,500,1219.841615
-586.75,500,1233.623175
-583.66,500,1247.542763
-552.16,452,1259.888646
-581.424904,467,1273.098708
-556.9,481,1286.155408
-566.82,485,1299.471656
-568.28,500,1313.398953
-531.989505,450,1326.249074
-571.1706,478,1339.373074
-445.32,364,1349.370777
-528.97,455,1362.226886
