#{"t_start": 1675955985.0633118, "env_id": null}
r,l,t
-2988.2097,295,23.811754
-2616.374592,277,25.782789
-1920.517185,205,27.228039
-3390.318769,369,29.845069
-2457.464177,423,32.860018
-1505.615254,312,35.105356
-681.970446,218,36.657278
-808.231654,391,39.435156
-712.610631,399,42.245146
-423.205188,264,44.106231
-390.705523,238,45.793136
-377.562342,224,47.360761
-447.491605,267,49.231891
-498.926908,312,51.436319
-632.858062,408,54.303648
-500.265766,284,56.267389
-489.434762,284,58.268516
-798.958569,438,61.384086
-940.601262,342,63.805869
-878.296769,307,65.969803
-956.170992,291,68.034342
-1407.577023,315,70.259988
-998.080538,308,72.424339
-902.431,390,75.192484
-554.04301,311,77.382454
-650.756254,330,79.729691
-450.918523,273,81.659723
-778.141554,331,84.027621
-807.102992,340,86.45157
-426.070508,185,87.768569
-694.492738,312,90.004632
-725.449431,367,92.604378
-634.362169,336,94.981482
-622.386008,337,97.370061
-557.813854,277,99.328309
-817.499615,485,102.733668
-414.585869,253,104.505061
-588.054956,389,107.273718
-394.655654,226,108.888472
-552.900426,364,111.439668
-489.596386,329,113.777056
-360.092522,268,115.648089
-304.120925,206,117.069136
-438.853243,336,119.429099
-333.7226,265,121.251008
-378.8469,300,123.341455
-381.874988,303,125.462734
-433.988069,318,127.683053
-363.840638,240,129.398474
-395.9268,272,131.318267
-491.871323,344,133.759308
-274.778431,175,134.975552
-347.987526,258,136.783859
-466.462675,345,139.215959
-365.84,283,141.177715
-278.88,206,142.597996
-316.667854,216,144.134295
-346.392569,245,145.850132
-339.7596,271,147.730043
-483.313275,326,150.035089
-350.268024,251,151.810033
-481.974783,380,154.467407
-452.177715,316,156.702488
-316.18,248,158.427123
-310.22902,242,160.116958
-332.14,257,161.892128
-301.241176,221,163.430974
-319.779994,251,165.182834
-328.9543,263,167.002636
-416.931273,336,169.361335
-365.133874,273,171.289083
-365.183922,282,173.264672
-307.82,234,174.892592
-349.28,263,176.71993
-376.271614,274,178.651424
-305.28,237,180.298583
-389.58,301,182.389536
-391.06,328,184.661749
-361.82,292,186.689901
-339.250649,242,188.384147
-379.701312,277,190.351624
-340.605716,252,192.110705
-358.648235,281,194.071682
-388.564081,284,196.065088
-518.426531,412,198.943059
-354.4788,275,200.866337
-398.91422,306,203.013704
-413.2,341,205.350998
-323.36,254,207.105079
-452.395543,381,209.767639
-292.42,216,211.261686
-349.12,279,213.203643
-386.4974,321,215.423898
-366.973598,287,217.420266
-285.1659,224,218.968784
-340.02,262,220.79248
-447.547008,322,223.067342
-404.437255,328,225.34849
-490.162588,378,227.989246
-455.6941,372,230.576114
-237.1331,177,231.804885
-410.12,323,234.046234
-363.766275,275,235.958106
-322.92,261,237.770128
-387.884845,297,239.855547
-450.482886,350,242.308774
-327.4,256,244.087246
-313.3081,253,245.839116
-283.62,213,247.319415
-316.38,248,249.037173
-329.42,257,250.823075
-265.54,197,252.187688
-316.5271,241,253.861254
-302.46,224,255.417481
-323.08,229,257.014382
-398.24,319,259.231334
-300.6934,237,260.870977
-291.74,224,262.426233
-308.88,237,264.06815
-438.26,379,266.681421
-366.02,291,268.700019
-312.12,241,270.367687
-341.3807,260,272.176909
-429.88,363,274.696437
-383.28,304,276.811425
-368.0621,295,278.867186
-344.62,280,280.809543
-409.04,334,283.127195
-277.42,205,284.551635
-305.06,236,286.192438
-391.34,305,288.318233
-400.64,338,290.653461
-282.14,207,292.098723
-396.66,334,294.417773
-298.4613,224,295.973575
-344.62,273,297.86779
-384.36,303,299.968929
-366.4,295,302.011565
-279.5,213,303.483157
-346.98,259,305.29254
-395.76,323,307.533494
-319.94,253,309.284391
-270.68,207,310.722551
-444.82,384,313.372017
-350.576078,282,315.327136
-405.66,324,317.576246
-288.2581,213,319.054336
-428.5,341,321.425652
-377.58,307,323.55237
-434.68,340,325.926032
-286.3,207,327.362005
-324.26,255,329.131764
-372.12,279,331.066177
-328.88,259,332.865231
-338.78,268,334.71501
-306.6,246,336.425173
-338.8562,262,338.240042
-409.16,332,340.546502
-429.46,335,342.88067
-279.16,202,344.290419
-267.38,200,345.670253
-369.3169,298,347.734082
-346.18,268,349.600449
-352.4,294,351.640549
-369.94,288,353.63495
-332.989412,257,355.441986
-320.0547,242,357.12383
-322.02,243,358.817465
-283.34,219,360.344816
-253.36,187,361.643006
-316.34,245,363.338964
-296.0502,218,364.85895
-308.44,244,366.543439
-348.6,286,368.518099
-349.24,262,370.341217
-317.68,252,372.09026
-324.44,254,373.856035
-396.48,323,376.110389
-372.7081,298,378.176853
-399.08,332,380.499978
-414.56,325,382.762307
-379.18,307,384.896465
-362.52,299,386.968172
-291.94,214,388.455654
-422.3,348,390.873807
-250.3,183,392.133594
-243.78,175,393.335988
-344.14,263,395.14138
-319.9842,249,396.867505
-328.3,268,398.727193
-263.6,196,400.09043
-378.04,294,402.134547
-274.54,203,403.54709
-333.68,254,405.309559
-381.9,310,407.46617
-503.6081,406,410.297984
-294.94,222,411.838016
-356.64,284,413.816192
-327.24,245,415.527307
-310.6562,234,417.164289
-388.32549,322,419.400703
-397.34,332,421.694107
-408.6421,320,423.925517
-320.54,259,425.716269
-310.54,249,427.442446
-322.38,241,429.111717
-318.22,265,430.94136
-301.46,224,432.50442
-399.52,317,434.713332
-334.98,258,436.508228
-358.52,283,438.47456
-317.12,259,440.27437
-338.78,262,442.098668
-292.4,223,443.642399
-320.88,256,445.421738
-334.36,276,447.32762
-325.74,262,449.140903
-329.24,262,450.963135
-347.94,276,452.893601
-289.32,214,454.382029
-332.22,261,456.194559
-334.7,264,458.028967
-308.2,241,459.704281
-390.44,300,461.791813
-372.14,305,463.904688
-277.2081,204,465.326834
-361.22,287,467.32505
-322.74,241,469.006351
-407.78,346,471.396121
-438.26,353,473.844989
-415.84,346,476.298724
-373.878039,308,478.435919
-299.86,234,480.057256
-336.1,262,481.879973
-378.78,304,483.988814
-313.92,251,485.729986
-388.28,295,487.787432
-332.56,263,489.613343
-288.26,219,491.134287
-340.62,273,493.027532
-348.68,276,494.935
-367.66,295,496.976456
-314.24,240,498.641173
-413.54,349,501.071025
-358.2,294,503.114579
-366.5,289,505.129505
-274.82,215,506.609663
-279.28,205,508.038386
-360.34,297,510.101781
-332.76,276,512.012918
-308.5,243,513.696293
-296.28,214,515.187391
-384.4,317,517.382962
-351.62,279,519.318707
-357.72,279,521.256121
-340.28,271,523.137233
-390.02,325,525.383568
-306.36,242,527.055605
-323.1,249,528.786202
-440.76,359,531.273786
-347.98,281,533.222898
-284.96,218,534.729117
-326.16,253,536.483493
-328.26,257,538.269587
-381.56,320,540.490259
-361.58,283,542.453089
-394.710588,300,544.552309
-317.5,255,546.316733
-319.9,235,547.952103
-294.78,228,549.532647
-315.16,245,551.23187
-335.96,269,553.094571
-389.28,312,555.258631
-444.42,391,557.962929
-340.16,263,559.791819
-378.32,310,561.946999
-393.64,302,564.04417
-322.08,235,565.679788
-291.18,223,567.223153
-316.36,238,568.868099
-418.46,348,571.280715
-264.38,191,572.607074
-291.86,218,574.127987
-415.1,355,576.592056
-264.46,197,577.952968
-283.38,210,579.41782
-335.34,273,581.311227
-378.44,296,583.368667
-298.72,222,584.916457
-384.56,299,586.994937
-434.78,342,589.385861
-316.06,248,591.099523
-311.12,242,592.791458
-364.04,281,594.749186
-481.12,393,597.476274
-221.58,152,598.532264
-399.84,315,600.720276
-304.34,240,602.383403
-348.06,275,604.296159
-437.02,371,606.876172
-336.36,249,608.615177
-389.66,325,610.869924
-396.4259,310,613.02471
-435.18,340,615.390403
-355.8,289,617.39443
-342.68,278,619.316018
-317.9,238,620.975863
-357.8,295,623.0119
-273.24,206,624.438539
-349.96,296,626.486263
-407.2,330,628.781029
-282.16,206,630.199472
-390.68,315,632.384127
-305.18,241,634.057796
-299.52,229,635.643268
-313.62,239,637.305227
-361.049412,288,639.317338
-388.86,309,641.469747
-529.5646,441,644.539488
-349.839608,270,646.4193
-331.32,268,648.269235
-455.912549,379,650.922979
-415.4331,331,653.22741
-284.32,205,654.649765
-348.62,279,656.588965
-373.711041,284,658.593003
-414.28,331,660.907548
-353.82,290,662.921872
-292.92,212,664.400783
-337.76,265,666.247421
-326.3,257,668.028532
-376.54,285,670.015628
-297.54,233,671.632134
-289.16,209,673.089875
-399.92,337,675.430727
-287.04,219,676.95094
-385.78,319,679.154191
-332.5,273,681.053545
-381.72,296,683.105883
-309.377647,225,684.682074
-339.72,264,686.513666
-362.66,295,688.560548
-363.56,288,690.560879
-306.1,228,692.143549
-367.88,283,694.11128
-340.32,288,696.107224
-375.66,301,698.1938
-276.86,207,699.628247
-366.640055,292,701.654444
-387.58,311,703.821167
-270.76,200,705.210416
-332.2,273,707.089357
-315.6,240,708.751995
-299.12,226,710.3178
-277.4,207,711.754542
-311.48,243,713.448303
-297.768235,215,714.953389
-408.1,339,717.308441
-396.7562,328,719.590203
-346.02,257,721.381336
-390.653725,296,723.454124
-342.9741,267,725.301591
-426.18,349,727.726694
-354.24,266,729.580209
-298.86,212,731.048723
-339.72,284,733.010307
-383.28,303,735.112401
-315.94,246,736.817963
-464.12,368,739.373136
-379.66,313,741.539799
-384.5,299,743.627691
-391.7,322,745.85026
-325.9,261,747.659248
-328.16,259,749.455918
-322.94,248,751.178025
-457.2,389,753.86517
-444.737726,301,755.963813
-342.062745,252,757.713504
-402.95219,303,759.82899
-397.423137,317,762.035667
-411.62,323,764.284363
-389.6546,321,766.509615
-324.68,248,768.240669
-392.6541,317,770.431874
-310.6,241,772.100664
-406.12,310,774.255218
-311.56,242,775.941472
-301.7992,228,777.514252
-376.592157,277,779.459496
-356.90549,280,781.411103
-358.82,288,783.410609
-295.48,226,784.976256
-354.64,275,786.878768
-343.0302,274,788.785462
-344.26,271,790.658643
-274.12,203,792.067423
-257.48,174,793.281184
-342.242353,263,795.118317
-382.0,310,797.269694
-312.8,235,798.905236
-352.36,290,800.912701
-287.66,208,802.360381
-447.2436,369,804.929289
-342.930082,270,806.80154
-324.06,251,808.537913
-304.2,225,810.095037
-350.82,291,812.101954
-321.64,250,813.840094
-338.62,275,815.74858
-443.8,371,818.322902
-354.92,297,820.381197
-295.62,227,821.951257
-342.84,296,823.998781
-329.02,251,825.74543
-359.25451,276,827.684051
-305.64,231,829.291171
-376.34,301,831.384934
-376.900784,307,833.534353
-404.92,321,835.771044
-339.64,265,837.619387
-386.3545,312,839.78367
-328.38,259,841.584687
-307.52,239,843.245175
-444.42,361,845.760625
-323.82,261,847.574743
-471.109877,302,849.692073
-451.888366,357,852.206542
-364.298704,321,854.434018
-300.969394,215,855.933481
-315.62,258,857.709335
-298.1,219,859.230524
-344.18,277,861.146756
-363.96,293,863.182436
-404.88,326,865.438343
-281.34,214,866.92162
-292.86,215,868.414876
-433.44,366,870.947351
-352.734042,263,872.799088
-334.46,267,874.65252
-317.64,244,876.34802
-367.18,279,878.277363
-411.973733,323,880.526718
-468.775515,338,882.919944
-524.121011,433,885.958114
-495.074424,419,888.881536
-330.221961,251,890.633941
-358.085882,298,892.70878
-420.155216,335,895.064502
-300.54,224,896.625875
-292.02,215,898.115592
-280.74,203,899.518146
-289.08,212,900.995388
-297.92,220,902.526556
-289.06,216,904.029031
-359.4872,293,906.054122
-361.0,287,908.049584
-371.68,294,910.086192
-353.86,296,912.130792
-381.357647,295,914.189939
-425.261569,330,916.495974
-375.14,294,918.541088
-281.48,211,920.003351
-352.62,275,921.915148
-387.870588,322,924.144199
-406.72,349,926.561651
-390.288651,302,928.664441
-372.18,302,930.755803
-357.42,294,932.789031
-261.92,191,934.109329
-346.599608,277,936.038575
-344.8,272,937.929789
-259.44,173,939.145588
-370.7,301,941.248693
-409.8807,328,943.526323
-489.801281,304,945.654776
-311.790977,189,946.996549
-325.86,257,948.785455
-438.111644,350,951.229761
-297.7056,220,952.761151
-381.44,297,954.825987
-373.22,297,956.891314
-253.54,191,958.210134
-411.12,334,960.518944
-332.9,262,962.338818
-312.3,235,963.972021
-288.76,212,965.444858
-411.24,336,967.783031
-351.12,290,969.795192
-255.68,197,971.158067
-379.788627,290,973.189937
-378.1278,298,975.260081
-316.88,246,976.970859
-426.033516,345,979.366915
-345.84,276,981.280124
-338.340141,261,983.097105
-295.286667,211,984.566476
-378.08,288,986.578831
-439.521976,339,988.961548
-281.04,218,990.476295
-336.42,261,992.287411
-266.6,204,993.707258
-448.22,388,996.388242
-410.58,323,998.63827
-318.5196,237,1000.282999
-296.56,227,1001.859571
-369.513078,288,1003.864877
-282.7102,209,1005.31118
-385.78,319,1007.523723
-343.599216,267,1009.3887
-439.24,365,1011.923223
-426.96,341,1014.296135
-376.5,316,1016.478823
-405.0,328,1018.750021
-273.76,197,1020.121432
-401.82,327,1022.388726
-338.607843,256,1024.183643
-345.2,288,1026.166534
-276.44,214,1027.648954
-359.06,283,1029.610681
-335.02,250,1031.348919
-355.2,289,1033.35849
-496.56,411,1036.21984
-365.6871,282,1038.180077
-390.08,307,1040.314556
-336.832941,262,1042.144771
