#{"t_start": 1679924513.9689233, "env_id": null}
r,l,t
-3872.3874,500,47.49843
-3618.510233,500,92.546361
-2383.0806,325,122.345928
-1329.673567,260,141.023495
-2665.334933,500,181.936782
-1524.345,333,210.468816
-1100.8304,255,232.047547
-1520.172767,356,257.169851
-922.793533,205,268.661536
-1325.956433,359,300.676927
-1538.087096,500,340.457298
-529.3385,176,349.764671
-940.8771,333,378.386223
-583.998667,210,384.076225
-501.493791,229,402.890351
-495.4526,226,416.87807
-177.589793,147,429.903715
-132.412785,166,442.156299
-105.045455,149,455.256376
-111.607223,140,468.031152
-107.250909,92,476.61379
-111.463874,132,488.618315
-95.672727,161,500.577939
-111.532806,125,512.111391
-102.827273,251,534.900545
-91.624045,124,544.377785
-99.527273,104,550.910184
-95.158182,146,564.202603
-97.981818,182,581.078208
-97.690909,125,592.489799
-114.15415,132,604.454205
-97.5,110,614.4852
-104.963636,185,630.805442
-103.036364,160,640.483568
-96.905929,176,656.595896
-126.582605,252,679.669123
-99.127273,127,686.520131
-106.345455,192,702.153003
-92.727273,104,711.715226
-96.945455,160,724.430786
-104.809091,138,734.855274
-87.505864,163,749.676975
-92.463636,121,761.037631
-98.314545,119,768.686748
-95.427273,109,774.817185
-93.983555,157,787.053214
-99.578182,121,797.653083
-108.190909,137,809.271522
-104.163636,98,818.382892
-96.245455,107,828.127978
-97.4,82,835.930915
-92.736364,158,849.640518
-101.281818,122,861.079932
-106.209091,202,879.635917
-97.918182,93,886.094688
-100.018182,145,891.01347
-101.954545,146,904.693429
-101.578182,115,915.12007
-109.481818,216,930.694596
-94.472727,121,935.59659
-94.883636,127,947.467367
-94.145455,92,955.805755
-89.496364,157,970.060769
-106.956282,195,982.337607
-91.254545,201,1001.141387
-100.618182,125,1012.724842
-99.318182,162,1026.390257
-104.6381,145,1039.148267
-120.886957,171,1054.851781
-98.2,79,1062.136582
-110.836364,153,1076.277261
-99.090909,120,1085.233728
-94.587273,170,1098.26164
-99.858182,91,1103.46332
-101.289091,105,1113.330435
-93.916809,137,1125.79619
-101.149091,81,1130.423074
-97.481818,108,1137.541395
-105.9532,101,1146.812004
-96.8,58,1152.254563
-100.86,121,1162.791436
-91.636364,147,1175.559292
-110.73834,83,1183.347228
-108.678024,206,1192.736711
-96.772727,135,1197.310557
-89.883636,182,1212.452128
-104.425927,142,1225.377477
-101.676364,180,1239.390822
-92.454545,102,1245.05216
-102.975415,180,1261.605549
-108.019842,172,1273.429082
-101.709091,112,1277.38411
-94.954545,81,1284.67518
-102.127273,154,1298.934241
-108.554545,187,1316.259641
-102.890909,109,1325.987071
-93.243636,144,1336.688759
-94.945455,90,1344.944568
-98.721818,135,1357.231273
-106.0581,244,1379.8502
-93.8,155,1394.064511
-97.290909,146,1407.329898
-99.849091,146,1420.656414
-100.154545,52,1425.668265
-95.536364,147,1436.788892
-98.354545,89,1444.953585
-100.145455,64,1450.963732
-98.854545,84,1458.821802
-98.172727,118,1464.759382
-92.2,112,1468.775785
-101.354545,110,1472.694987
-106.581818,139,1485.125758
-102.6,126,1496.548845
-89.163636,101,1503.760732
-96.054545,194,1519.051094
-99.7513,141,1531.690253
-108.752727,155,1545.630648
-87.947273,118,1553.071541
-109.313834,137,1561.456947
-96.903636,183,1575.417372
-94.390909,130,1584.791624
-94.9,136,1597.526503
-93.784773,90,1605.792106
-98.976364,139,1616.428847
-104.032727,128,1628.388513
-98.64,114,1638.767203
-92.536364,175,1654.511945
-96.218182,119,1662.123074
-98.818182,160,1676.70785
-102.798182,168,1691.883399
-103.236364,121,1702.329133
-88.189091,130,1709.072491
-95.998182,191,1723.024879
-95.172727,185,1737.082984
-91.94,146,1746.718478
-111.272727,159,1760.879078
-94.954545,152,1769.387634
-93.687273,172,1781.056223
-93.245455,113,1790.460665
-99.118182,88,1795.304418
-92.698182,167,1807.328765
-101.558182,94,1815.658583
-91.063636,138,1827.82233
-91.927273,126,1835.78005
-99.290909,164,1848.337755
-92.634545,113,1852.159151
-102.625455,107,1857.744739
-100.890909,138,1870.10646
-108.809091,195,1885.090071
-104.536364,130,1894.605052
-99.409091,118,1905.219485
-91.872727,91,1913.1178
-100.118182,96,1921.584427
-107.334545,151,1934.877396
-90.718182,107,1944.51458
-105.112727,144,1954.012882
-97.218182,103,1963.304504
-99.436364,101,1972.077814
-108.749091,117,1979.652967
-95.710909,172,1994.827632
-89.118182,154,2004.61928
-107.127273,129,2011.321398
-93.909091,140,2023.62547
-93.618182,66,2029.41567
-92.981818,175,2044.946235
-103.945455,154,2058.586596
-91.509091,149,2071.630028
-92.732727,235,2092.429114
-86.581818,169,2103.926736
-116.829091,183,2119.719563
-100.210909,83,2126.881951
-90.454545,107,2136.5549
-106.196364,204,2153.160521
-95.98,158,2157.774101
-97.376364,134,2167.417536
-102.78,177,2182.586398
-106.887273,136,2194.775614
-93.028382,110,2201.132713
-105.129091,169,2213.965548
-98.109091,93,2222.222195
-114.196282,195,2236.190659
-99.216364,150,2247.411699
-91.649091,109,2256.980213
-101.078182,119,2264.215661
-112.289091,164,2277.140791
-99.796364,104,2285.539211
-94.847273,187,2297.476247
-104.314545,145,2310.109941
-88.218182,119,2320.37144
-99.569091,114,2328.765706
-103.663636,160,2341.242245
-95.745455,169,2355.638561
-93.121818,193,2370.480532
-84.609045,140,2376.483744
-95.181818,196,2387.690993
-98.672727,127,2393.457627
-119.517391,179,2399.19312
-98.309091,94,2402.393734
-105.845455,110,2410.310962
-100.214545,131,2415.762543
-96.272727,74,2418.55525
-102.163636,180,2429.74574
-102.609091,163,2441.724119
-104.590909,122,2449.407452
-97.1,134,2461.304031
-101.536364,157,2474.088254
-97.645455,106,2477.830694
-89.209091,144,2486.267488
-101.272727,172,2495.583005
-98.809091,110,2505.178663
-97.627273,81,2510.19363
-100.872727,107,2516.314465
-96.463636,167,2524.427935
-93.790909,143,2529.838299
-93.627273,110,2538.896771
-99.627273,94,2545.994015
-95.690909,83,2548.730607
-95.779555,138,2558.64342
-97.963636,145,2565.791573
-98.0,153,2571.061296
-97.081818,138,2579.919907
-98.116364,84,2583.081792
-103.927273,145,2588.652243
-96.363636,149,2596.285823
-98.509091,129,2604.601868
-96.463636,138,2611.101313
-94.309091,119,2617.327372
-97.763636,77,2619.805675
-105.2,138,2625.046029
-93.2,115,2634.868704
