#{"t_start": 1679936012.8823335, "env_id": null}
r,l,t
-2398.825567,306,25.389306
-3731.705967,500,62.390043
-3104.513033,500,78.683667
-3385.3028,500,80.196893
-3127.117867,438,81.422997
-2808.8437,353,82.410439
-2516.8062,342,83.341155
-3453.614433,500,121.633919
-3004.149967,500,149.265217
-2778.5648,500,150.668996
-2908.0296,500,152.075693
-2864.1222,500,153.504722
-2795.465633,500,154.919642
-2873.2993,500,156.364583
-2746.336,500,191.016644
-2461.8101,500,230.668151
-2389.517767,500,232.053839
-2440.371833,500,233.55433
-2382.7291,500,235.006214
-2407.124667,500,236.408623
-2508.6693,500,237.838625
-2413.401667,500,252.257978
-2069.185567,500,258.494961
-1948.872733,500,260.103785
-1923.4287,500,261.557391
-1930.418033,500,262.987886
-1884.813733,500,264.426327
-1888.944367,500,265.834842
-1882.113067,500,304.032122
-511.205233,261,324.654311
-170.083884,209,340.022913
-141.201328,132,342.496421
-192.221835,198,343.064086
-211.805465,299,343.903879
-187.365316,215,344.498757
-176.136211,262,345.238995
-143.108836,141,356.309089
-121.376709,153,368.046606
-126.792636,185,381.576975
-103.447273,116,390.638746
-110.54,164,403.139049
-99.390909,94,410.09655
-102.309091,122,421.022648
-105.593046,186,421.542629
-102.036364,115,421.867999
-97.266755,127,422.225965
-118.568696,137,422.625017
-100.675494,123,432.478621
-107.809091,100,440.361157
-125.781739,196,454.854202
-114.204348,109,463.0525
-147.1865,186,477.082791
-177.416881,245,494.736053
-153.26382,158,498.34561
-120.963744,171,498.924568
-165.35363,139,499.33138
-134.598333,172,499.830026
-114.317309,232,500.486805
-181.116792,174,514.151833
-111.506345,116,523.177637
-148.883416,188,537.608919
-124.678655,240,556.399383
-117.199605,169,569.224029
-97.533118,135,578.190791
-116.084279,115,578.51548
-170.583932,195,579.156092
-110.509483,80,579.42524
-157.3312,169,579.975861
-96.669718,118,586.500131
-112.502767,125,587.465291
-138.756884,167,594.732229
-113.792885,131,604.901245
-102.402288,115,613.302242
-106.827273,121,622.498215
-110.429009,118,631.579582
-119.830435,101,639.273051
-111.236364,110,639.576629
-101.554545,114,639.892233
-147.623024,144,640.29824
-109.986564,116,640.616274
-147.988603,154,652.371028
-127.757549,196,665.831631
-102.454545,119,675.140069
-107.936809,91,682.19159
-132.940402,105,690.329905
-113.254545,104,698.098296
-101.263636,96,701.809738
-107.733736,178,708.979043
-103.0,144,709.404168
-93.5,155,709.860663
-102.074309,160,710.296512
-112.317391,147,710.706827
-111.052411,65,715.873826
-91.125455,138,726.813202
-106.045455,116,735.576234
-123.919346,211,751.176287
-116.709091,124,760.087937
-105.829191,110,768.641513
-101.990909,103,776.846384
-99.918182,125,786.450506
-97.771355,157,787.051183
-92.642209,165,787.542469
-125.702366,198,788.112918
-110.709091,159,788.57716
-95.010909,141,789.036901
-117.056282,221,805.844176
-104.409091,152,817.367265
-104.986274,135,825.643641
-133.592622,179,835.284262
-107.89581,115,844.341159
-105.481818,98,851.843662
-113.427357,243,860.342829
-118.365373,183,860.843932
-118.694466,229,861.48405
-110.666008,146,861.889789
-111.672727,145,862.288046
-104.954545,106,870.210411
-117.954545,140,880.548492
-104.174545,105,887.548207
-127.093913,229,904.579534
-107.172727,115,912.593353
-115.813043,131,922.866212
-116.127273,164,934.967925
-108.260074,108,936.105366
-94.145455,94,936.377077
-88.0,207,936.946792
-107.359764,118,937.272949
-109.194382,170,937.744563
-102.46087,199,952.660963
-99.381818,145,963.320781
-97.9,91,970.406502
-102.890909,79,976.658429
-81.207718,167,989.42975
-94.409091,109,997.39151
-105.963636,146,1008.466033
-102.090909,129,1013.568847
-98.662264,96,1013.852367
-91.654545,109,1014.154632
-108.820632,124,1014.511959
-127.65594,210,1015.124592
-88.46,170,1028.326616
-101.836364,124,1037.839576
-99.018182,159,1049.430524
-97.036364,149,1060.655381
-104.527273,89,1067.661311
-90.281818,110,1076.253006
-96.636364,140,1085.676072
-99.2,148,1089.951979
-89.4,198,1090.497814
-119.736364,155,1090.929647
-100.672727,140,1091.321308
-106.673913,187,1091.854371
-103.262846,155,1103.916867
-104.437427,149,1115.226341
-103.0,126,1124.108372
-104.118182,128,1133.775553
-90.009091,191,1148.387723
-96.190909,148,1160.120499
-105.854545,182,1168.275657
-97.172727,78,1168.491404
-102.472727,162,1168.9642
-107.154545,149,1169.412246
-112.825692,179,1169.930047
-100.127273,118,1179.367992
-79.018182,182,1193.423474
-94.918182,165,1204.766682
-106.11035,266,1212.798563
-101.776364,227,1229.077694
-92.833136,157,1232.669024
-96.754545,205,1233.226657
-106.947757,228,1233.857768
-109.490909,132,1234.220209
-100.399482,95,1234.480898
-98.461818,67,1239.896246
-98.881818,98,1246.712973
-105.918182,116,1253.151581
-103.216364,121,1254.305157
-95.472727,71,1255.240124
-99.7,130,1264.782723
-105.089091,169,1277.948272
-113.101186,146,1289.045586
-108.523715,187,1295.339182
-92.372727,93,1295.598609
-92.618182,94,1295.85559
-98.981818,165,1296.307839
-88.4,138,1296.687423
-90.736364,118,1305.478544
-97.654545,134,1316.070297
-117.209091,206,1331.923185
-102.127273,112,1339.722099
-99.345455,157,1351.286709
-90.009091,173,1364.646889
-94.981818,118,1372.635154
-96.563636,99,1372.912075
-110.05415,180,1373.430622
-106.940711,113,1373.74699
