#{"t_start": 1675253681.329098, "env_id": null}
r,l,t
-633.8591,121,2.30002
-1021.3642,184,2.6561
-537.1297,104,2.856932
-1959.0632,500,3.819971
-610.2018,130,4.074457
-1743.0034,416,4.87338
-927.0706,181,5.224813
-2197.431289,500,6.180882
-2145.3822,500,7.135812
-1474.4594,344,7.7963
-2114.012,500,8.756639
-1770.2301,446,9.612501
-632.977,124,9.852099
-873.567,170,10.176214
-2150.365789,500,11.137818
-2211.195114,494,12.082067
-1759.030726,460,12.95696
-1490.029009,366,13.655873
-990.1591,201,14.04354
-553.977268,95,14.223592
-791.1521,147,14.505697
-2201.5672,500,15.456005
-976.1609,196,15.832289
-488.7595,81,15.987212
-2101.831926,487,16.917231
-509.7943,88,17.089026
-848.546311,146,17.368737
-2304.6982,500,18.323539
-1006.3478,235,18.772773
-569.9156,102,18.966056
-444.4248,61,19.083623
-365.8665,63,19.203698
-583.207389,121,19.43513
-2037.1541,500,20.393169
-2145.6278,500,21.348999
-1004.409,231,21.789214
-1491.213398,305,22.375712
-1466.951,351,23.046508
-953.0686,222,23.469844
-1903.7431,487,24.3959
-468.3125,86,24.562489
-1742.8666,392,25.311687
-733.428274,165,25.627128
-599.765747,112,25.842552
-1668.1081,406,26.62088
-366.741858,66,26.747149
-553.212789,117,26.972172
-1447.8854,330,27.605477
-997.459779,216,28.018652
-1682.9769,420,28.822344
-962.125958,220,29.244406
-1594.9489,391,29.997108
-2076.9355,500,30.959229
-721.434558,128,31.204898
-973.463399,174,31.540242
-574.4709,108,31.747168
-1264.3482,286,32.295043
-2189.768168,500,33.250142
-728.5038,137,33.512475
-620.4017,130,33.76437
-577.5276,114,33.984553
-769.431879,157,34.286257
-2150.494,500,35.24068
-1936.031368,500,36.184272
-2139.561721,500,37.138044
-1543.601579,346,37.802239
-2194.096579,500,38.760154
-1122.4994,288,39.312684
-599.947779,108,39.518934
-379.3893,65,39.645702
-1461.2843,378,40.36953
-2231.7519,500,41.327425
-1862.3458,471,42.225863
-2211.6128,482,43.147435
-395.2634,70,43.280468
-615.076091,141,43.545353
-2188.566,500,44.49503
-870.6722,189,44.8572
-1718.7139,383,45.589423
-1950.5328,469,46.487798
-541.158005,94,46.669459
-1976.4205,470,47.566671
-517.2005,85,47.731782
-2177.9513,500,48.689502
-2213.716056,500,49.646632
-985.2695,192,50.013098
-2044.4747,482,50.93702
-1261.076089,298,51.502306
-2066.3858,500,52.463778
-1039.6263,219,52.882302
-939.0806,194,53.254923
-953.3744,210,53.656976
-1090.7276,216,54.072146
-2095.9634,500,55.027769
-2319.1577,500,55.97919
-1470.8292,325,56.601624
-2069.0221,500,57.562978
-1953.1568,464,58.451388
-1404.399563,346,59.112088
-2237.0863,500,60.0755
-2104.984,500,61.036477
-1015.6392,212,61.44042
-961.2286,167,61.765245
-672.186168,140,62.034118
-1932.4945,449,62.888616
-2277.024389,500,63.842082
-1941.4359,500,64.800655
-2098.2112,500,65.763227
-2027.5526,500,66.724493
-730.9849,158,67.026274
-2181.956,500,67.983813
-1331.8492,265,68.49281
-752.363089,158,68.795634
-2141.7351,500,69.74368
-1442.8041,322,70.359006
-711.5688,146,70.634667
-2217.3648,500,71.592682
-1183.888089,292,72.14933
-1222.0999,313,72.746971
-730.123068,166,73.064584
-2118.8699,500,74.017344
-691.8246,121,74.251224
-1673.691369,364,74.943539
-1269.7266,273,75.463333
-512.009789,102,75.657847
-1187.5939,272,76.182505
-2137.4756,472,77.08644
-704.5449,144,77.365585
-2157.276686,500,78.327027
-963.2197,157,78.628515
-596.8161,95,78.814433
-645.28,128,79.060752
-1249.921789,296,79.629051
-1151.7078,208,80.027889
-2154.5281,500,80.980722
-2174.6512,500,81.937686
-2108.2001,500,82.894958
-2128.5238,491,83.831225
-2100.0371,457,84.699845
-355.4782,59,84.813472
-910.4982,214,85.226413
-1722.423889,458,86.098748
-971.11966,224,86.52334
-938.9187,228,86.960257
-2041.480058,482,87.881883
-2238.2216,500,88.843199
-732.574932,144,89.120699
-1987.565279,500,90.073784
-1993.3403,453,90.940698
-2155.679673,500,91.89417
-1048.1451,211,92.299339
-849.464443,192,92.6681
-2026.985189,500,93.629882
-796.071679,155,93.924469
-2047.7928,500,94.879312
-662.7047,120,95.111452
-2155.4777,500,96.075166
-2115.211989,500,97.029879
-1625.261536,427,98.088987
-187.941808,75,98.345434
-281.284156,75,98.593899
-477.860343,140,99.078819
-600.342763,158,99.61954
-475.738667,121,100.02519
-361.066667,79,100.294733
-449.309667,104,100.64054
-307.939322,64,100.854393
-350.1813,76,101.108331
-512.929142,127,101.545047
-520.385353,131,101.98667
-665.113244,176,102.576681
-590.737553,117,102.983183
-525.152633,129,103.416211
-583.900598,104,103.772786
-552.423188,90,104.080465
-101.311111,39,104.214429
-110.122178,106,104.574989
-103.444444,39,104.704192
-427.027675,146,105.202358
-416.936656,113,105.578388
-446.271722,88,105.876921
-360.862222,54,106.067661
-431.102222,68,106.301067
-367.411111,54,106.488361
-353.855556,51,106.664189
-338.466667,50,106.832708
-333.560944,48,106.999362
-360.812589,77,107.262633
-368.0631,198,107.947139
-209.413578,112,108.325724
-156.457778,85,108.61369
-287.002745,101,108.966276
-426.365944,152,109.472781
-112.7,120,109.874854
-126.373821,84,110.162383
-142.943632,87,110.456803
-183.604211,102,110.809896
-114.072056,96,111.136904
-145.177193,73,111.384984
-125.912281,109,111.756907
-127.111111,72,112.000804
-162.4,80,112.266534
-167.976867,68,112.496068
-179.070367,73,112.745145
-122.227978,87,113.035018
-333.1,77,113.297687
-350.717895,75,113.550623
-228.75832,86,113.84135
-197.273089,80,114.106425
-115.653216,72,114.349558
-124.911111,67,114.575843
-105.9,71,114.812008
-141.292511,82,115.087901
-129.035556,46,115.24074
-312.998306,168,115.806923
-252.454978,153,116.316715
-125.285089,60,116.516737
-226.302611,116,116.906459
-173.060234,87,117.199
-135.094737,110,117.578202
-101.077778,43,117.725186
-115.092511,85,118.011358
-108.272511,92,118.322025
-156.313122,97,118.643427
-129.195556,97,118.966027
-137.368889,69,119.203484
-111.0502,74,119.450111
-118.166667,45,119.600035
-137.220767,111,119.977641
-209.406622,118,120.379484
-196.855113,155,120.900299
-216.024444,93,121.215606
-182.168144,73,121.46116
-290.70383,156,121.99478
-114.55614,92,122.312912
-119.005263,108,122.684278
-132.448889,72,122.925889
-128.025263,116,123.320903
-128.543275,74,123.571437
-102.644444,48,123.733145
-172.212878,86,124.022742
-213.377458,89,124.330373
-226.755954,118,124.755975
-167.445178,67,124.977426
-223.978667,65,125.204267
-115.442222,96,125.529099
-109.342222,46,125.681545
-194.992281,116,126.077357
-110.812589,88,126.378404
-134.222222,82,126.652899
-134.828889,143,127.125472
-146.740482,72,127.374421
-129.455556,107,127.736531
-125.804598,118,128.142159
-112.301478,110,128.508948
-125.407011,109,128.881054
-119.007156,91,129.18741
-123.343567,148,129.682774
-139.942982,74,129.930562
-105.044444,63,130.139549
-120.461311,89,130.441252
-97.555556,77,130.700493
-110.366843,85,130.991788
-147.297537,151,131.512609
-137.301284,57,131.706598
-209.218044,58,131.903712
-245.763915,88,132.202508
-157.175965,46,132.358889
-224.652822,103,132.704576
-250.996886,101,133.048138
-109.616867,79,133.315265
-107.165844,77,133.572793
-128.244444,79,133.840034
-122.888889,55,134.024182
-121.387712,65,134.246469
-119.268889,85,134.534418
-107.92,66,134.760449
-117.923977,52,134.935739
-128.496959,112,135.313737
-133.760819,113,135.696748
-164.6158,71,135.933632
-111.455311,70,136.171379
-112.232878,80,136.441787
-107.133333,55,136.626724
-108.288889,68,136.856606
-162.922456,76,137.116029
-102.1,39,137.249346
-120.942257,87,137.541131
-103.3,64,137.758721
-151.481579,69,137.999993
-116.744444,80,138.271713
-233.298393,157,138.809284
-142.728655,94,139.127722
-103.111811,83,139.411739
-177.753801,70,139.650856
-162.035825,72,139.924169
-106.968421,48,140.090584
-108.444444,108,140.455834
-114.547368,72,140.702197
-224.406686,87,141.002819
-198.199067,73,141.25447
-215.914781,101,141.606174
-161.827189,50,141.776889
-143.993333,63,141.991018
-225.804444,133,142.441145
-175.395956,178,143.040475
-125.489589,124,143.46315
-121.5,49,143.626362
-101.231111,49,143.790104
-152.772056,84,144.07416
-143.235437,229,144.848608
-118.811111,87,145.138756
-162.054847,63,145.350742
-121.225731,75,145.606194
-103.124444,53,145.78599
-116.10117,95,146.109546
-103.050289,95,146.429146
-109.056256,60,146.63059
-124.344133,125,147.049498
-140.111111,52,147.223101
-110.017758,99,147.565217
-131.316867,65,147.78457
-109.322178,57,147.975947
-104.455556,49,148.141842
-149.941287,140,148.614919
-98.233333,78,148.879132
-102.1,47,149.040204
-160.191944,107,149.401548
-122.413333,96,149.725883
-121.387135,101,150.074178
-123.610526,88,150.379757
-130.633333,95,150.694422
-122.087705,95,151.021064
-127.547953,77,151.284545
-118.666726,86,151.583988
-148.894885,121,151.99878
-159.088068,115,152.392915
-109.6,43,152.540708
-100.322922,54,152.723735
-106.600585,60,152.931872
-114.478947,67,153.163264
-100.6,61,153.369498
-125.366444,98,153.698298
-113.610712,119,154.09618
-103.211111,66,154.321083
-112.894644,77,154.582885
-139.963432,130,155.023823
-99.322222,74,155.271564
-115.61436,138,155.750145
-112.912878,87,156.044392
-105.242856,76,156.298008
-118.544444,56,156.486675
-103.977778,58,156.686971
-341.099578,135,157.144107
-135.768421,52,157.323683
-101.155556,69,157.553942
-150.72642,155,158.080217
-96.588889,42,158.221004
-105.603522,62,158.432377
-125.809942,98,158.768683
-103.489589,39,158.903155
-129.513684,98,159.237774
-120.233333,69,159.473553
-191.308023,103,159.828899
-129.533856,74,160.086003
-135.964528,99,160.427986
-103.344444,73,160.677745
-113.288889,85,160.96377
-131.383583,98,161.300328
-142.542013,123,161.714517
-115.312878,102,162.06102
-136.3413,82,162.3345
-115.579256,119,162.735095
-114.144444,75,162.987605
-132.822768,175,163.583806
-107.6965,130,164.020385
-119.8165,62,164.230142
-137.699533,207,164.922398
-113.966667,47,165.082315
-106.411111,54,165.265069
-115.116956,64,165.482257
-108.5,43,165.625512
-109.444444,67,165.854075
-148.775556,88,166.151677
-133.98,106,166.516361
-114.561311,114,166.89769
-123.522222,39,167.028067
-114.203039,70,167.262609
-120.925144,72,167.502379
-115.6,98,167.837034
-121.195222,79,168.103159
-104.888889,94,168.418684
-122.457895,69,168.659329
-119.686667,67,168.885046
-120.520319,85,169.16965
-138.649123,89,169.478315
-130.851053,59,169.678956
-106.444444,76,169.935671
-114.912878,89,170.241118
-109.566622,89,170.54197
-198.114342,94,170.864999
-129.8751,63,171.080058
-126.182222,52,171.25734
-123.555556,81,171.531773
-135.770773,81,171.811008
-104.377778,52,171.989727
-107.933333,52,172.166809
-161.154033,81,172.434786
-123.407018,51,172.612419
-123.163788,124,173.037009
-115.1502,105,173.388171
-100.444444,60,173.593827
-105.267367,89,173.892002
-118.777895,51,174.067947
-145.312865,88,174.365804
-128.137565,121,174.778669
-171.102105,78,175.049469
-100.655556,55,175.234226
-103.094644,38,175.364607
-134.57193,77,175.6237
-149.278678,153,176.143958
-127.600877,133,176.611726
-111.572667,68,176.840401
-117.426309,128,177.279863
-112.269081,103,177.626606
-152.47532,98,177.963703
-112.384211,67,178.196314
-115.455556,71,178.432005
-102.988889,81,178.710303
-110.270189,65,178.926015
-169.570995,90,179.231164
-114.977778,50,179.400883
-129.36,56,179.589293
-111.903522,76,179.849277
-118.875979,81,180.122326
-126.462222,70,180.361776
-187.556266,130,180.810443
-127.200658,93,181.131724
-112.594233,108,181.498064
-134.326221,159,182.049022
-116.778713,72,182.292176
-230.974084,144,182.785678
-111.405263,94,183.146569
-127.844678,91,183.454201
-117.55,94,183.78581
-212.581287,93,184.099255
-289.017659,83,184.381388
-265.8846,101,184.723985
-500.993691,144,185.209384
-214.95,44,185.362937
-143.828922,129,185.795186
-122.624561,98,186.135681
-107.298556,57,186.328191
-114.288889,68,186.556592
-196.713577,139,187.037069
-115.944444,78,187.298808
-133.801871,60,187.499647
-105.955556,63,187.712183
-133.229825,105,188.068753
-114.36,79,188.335786
-99.637778,57,188.5264
-117.997076,105,188.883764
-98.383622,71,189.122464
-117.6,60,189.32309
-108.366667,73,189.574588
-148.369979,98,189.915077
-172.060327,106,190.278998
-126.666622,100,190.611946
-112.940936,76,190.869191
-110.430469,54,191.053411
-100.888889,64,191.268628
-120.188889,69,191.498219
-162.416602,71,191.74508
-119.474433,154,192.260425
-109.183533,67,192.484108
-104.3,58,192.685841
-112.566667,55,192.874972
-113.61988,82,193.155053
-137.383523,188,193.783941
-112.145084,73,194.033442
-116.752667,88,194.330473
-132.201968,101,194.679356
-101.788889,87,194.970422
-123.542222,78,195.238218
-103.377778,45,195.390966
-109.255556,91,195.697877
-114.238722,84,195.978962
-124.428947,76,196.247232
-105.944444,46,196.406406
-214.213389,102,196.756439
-124.512878,110,197.121871
-132.599718,111,197.495071
-133.987719,152,198.013896
-125.985978,91,198.328332
-119.766667,56,198.518224
-112.688889,52,198.69506
-124.1351,105,199.047954
-104.305389,81,199.322298
-127.844444,68,199.554063
-180.128604,139,200.041139
-114.033333,107,200.403113
-153.7715,109,200.770202
-126.588304,117,201.17342
-126.152625,98,201.512115
-134.511696,110,201.894217
-108.266667,56,202.082689
-103.161356,60,202.284568
-161.127574,95,202.616728
-126.961311,94,202.936503
-99.080778,121,203.342309
-118.183167,118,203.737708
-133.978178,117,204.131325
-162.353754,98,204.461478
-264.653111,108,204.829968
-123.110526,71,205.076306
-106.111111,68,205.308391
-158.575337,73,205.572056
-105.7,69,205.808585
-232.985032,156,206.348767
-142.9624,125,206.785552
-116.82,87,207.078212
-125.211811,132,207.530494
-101.344444,62,207.744807
-191.503533,122,208.153582
-147.266667,102,208.497059
-116.777778,82,208.770465
-111.922222,38,208.90281
-111.611111,99,209.240433
-144.7857,71,209.47778
-135.5,156,210.013937
-112.257778,96,210.337798
-103.255556,33,210.451725
-102.491442,75,210.718413
-164.665029,101,211.066856
-128.201692,79,211.33396
-177.289123,100,211.669666
-110.057778,59,211.869617
-183.641982,90,212.179828
-121.113889,67,212.40695
-120.880172,56,212.601007
-153.523989,115,212.989966
-182.168933,106,213.358629
-113.311111,76,213.613972
-117.866667,132,214.057241
-140.147156,132,214.534305
-129.554222,60,214.736849
-153.820644,134,215.180943
-360.272422,95,215.505383
-164.287454,88,215.805341
-288.746156,123,216.217029
-190.486608,145,216.718555
-112.629378,62,216.925541
