#{"t_start": 1675256983.4436226, "env_id": null}
r,l,t
-721.437612,161,0.325015
-2037.9944,500,1.280905
-1641.3903,348,1.943488
-757.6897,129,2.192252
-988.183768,174,2.526842
-2256.086016,500,3.492498
-2134.2268,500,4.450013
-829.4011,131,4.704644
-1188.220466,277,5.234013
-1507.1698,315,5.835893
-1232.3526,276,6.367125
-2171.9887,500,7.329581
-1941.4639,500,8.285512
-2125.5375,500,9.241799
-402.908258,61,9.358408
-742.8233,174,9.693934
-374.9876,68,9.824666
-1911.3031,430,10.645781
-864.4378,186,11.001181
-2214.9083,500,11.95384
-2094.5758,471,12.85889
-1460.2888,351,13.528785
-425.4549,63,13.650703
-2073.370158,500,14.613578
-868.4494,168,14.936746
-1696.689833,401,15.699028
-1071.8558,249,16.178315
-873.8883,185,16.536487
-2004.527068,500,17.490046
-2123.5488,500,18.450258
-2190.0401,500,19.403659
-721.803521,143,19.679376
-2095.8802,497,20.633088
-1972.6096,413,21.42317
-2354.0432,500,22.386208
-1018.565889,208,22.78577
-1964.858558,500,23.744276
-604.3098,123,23.982542
-929.7959,186,24.338082
-2086.3723,500,25.3046
-1889.509205,453,26.169087
-309.485326,60,26.2808
-2067.9664,500,27.238389
-1201.2888,251,27.722774
-665.1795,136,27.987279
-1821.0331,391,28.735801
-2055.3669,500,29.692642
-725.9759,148,29.980793
-1176.583479,283,30.520431
-573.584084,97,30.708014
-598.0481,113,30.925499
-856.520337,194,31.297485
-1605.7889,381,32.027288
-767.853,160,32.335012
-845.322158,186,32.68835
-2071.3282,500,33.643478
-1141.9602,246,34.116106
-1155.973889,234,34.565282
-844.295121,154,34.860872
-836.177279,156,35.162063
-1341.632089,302,35.740111
-1371.3631,296,36.307052
-558.3753,109,36.516826
-2174.677179,500,37.472631
-1215.2182,267,37.982469
-2156.739784,500,38.943321
-542.4019,102,39.137929
-1757.04,448,39.99481
-537.184,97,40.183717
-478.2279,83,40.346158
-1275.806353,284,40.884931
-530.6054,109,41.094468
-2180.324889,500,42.05944
-2092.8521,500,43.018524
-1282.554847,298,43.591312
-506.533827,109,43.79494
-2287.190779,500,44.748519
-1136.1046,244,45.216204
-1265.4051,288,45.774953
-835.2122,181,46.122304
-472.641,100,46.314183
-2173.9824,500,47.269747
-1212.9635,252,47.752146
-350.9184,54,47.85503
-2023.7382,474,48.75739
-1925.0311,500,49.708317
-2220.2468,500,50.669379
-1146.5167,230,51.107416
-800.5099,157,51.411045
-956.5753,202,51.801286
-1511.4684,341,52.462064
-1112.796832,262,52.961781
-1109.9802,223,53.39198
-658.593,157,53.690928
-1512.0167,348,54.356019
-497.004451,109,54.562358
