#{"t_start": 1675966588.3409739, "env_id": null}
r,l,t
-3089.073377,319,1.689182
-4630.891638,470,4.204923
-3630.925615,379,6.144132
-3576.056823,360,8.019322
-4182.731646,421,10.088237
-4737.736223,500,12.422644
-4222.324838,440,14.610308
-4734.554392,465,16.863124
-4935.260677,500,19.268934
-2730.069223,264,20.54521
-3059.918631,305,22.032392
-2982.616592,294,23.466832
-2602.508585,274,24.79535
-3983.958838,427,26.869784
-4639.251315,476,29.219981
-4821.165431,500,31.714496
-4455.545869,469,33.92883
-3782.339123,391,35.820149
-2623.994123,266,37.196459
-2754.953485,272,38.625584
-3206.251262,315,40.167157
-4330.745723,445,42.411185
-3574.163108,350,44.063369
-3070.268569,302,45.584733
-4748.269308,497,47.909053
-4259.082485,445,50.131174
-4663.135569,463,52.438313
-4302.381523,426,54.52312
-4759.571846,500,56.991754
-3990.110254,401,59.030122
-3264.990077,321,60.718151
-2656.200285,253,62.011111
-3090.954246,309,63.581899
-3249.599323,322,65.158727
-4620.044446,466,67.402073
-3828.219762,389,69.331564
-4887.764238,500,71.81099
-2301.992369,231,72.998906
-3961.280685,395,75.077341
-3000.922962,287,76.546081
-4781.117362,481,79.008837
-3967.710038,395,81.027192
-2875.674792,294,82.528273
-3692.316723,384,84.330895
-4145.075038,426,86.433642
-3213.368238,326,88.09969
-3148.492769,322,89.711115
-2999.965092,278,91.169123
-3435.355669,340,92.967687
-2687.4099,258,94.282243
-4957.657938,500,96.66745
-5066.681392,500,99.146456
-3291.068692,334,100.870473
-2793.197208,271,102.196096
-4248.485115,435,104.475929
-3531.987792,366,106.291383
-4257.710523,435,108.427887
-4846.221246,500,110.860627
-2831.121469,282,112.282656
-4857.758562,472,114.60447
-4635.301708,470,116.9489
-2641.272508,254,118.197275
-4077.215562,431,120.296179
-4742.496138,500,122.982733
-2910.960869,283,124.438562
-4646.459885,471,126.865542
-2513.721015,237,128.086793
-3765.271969,375,129.93943
-4778.052877,491,132.286526
-4387.837754,443,134.522701
-4850.423546,500,136.956183
-3523.6398,360,138.803981
-2828.363569,274,140.250693
-3564.838869,355,142.049441
-4690.231623,490,144.542033
-4908.085023,500,147.217458
-5027.689246,500,149.727745
-4316.769277,430,151.811913
-2497.543608,260,153.160479
-3315.023346,333,154.843582
-4241.096392,457,157.158
-4147.419808,446,159.351452
-4774.534085,499,161.808428
-3491.975854,343,163.489175
-4465.423823,445,165.677097
-3783.664031,385,167.664733
-3140.055354,303,169.226248
-3465.223915,352,170.933033
-4198.030885,414,172.866876
-3104.041846,300,174.305537
-4812.887485,498,176.741824
-2305.561831,220,177.903109
-3998.8025,398,179.856221
-3236.570185,318,181.492383
-4740.353985,500,183.810092
-3633.802115,373,185.594569
-4901.823838,500,188.078891
-4951.966631,500,190.655989
-4060.001685,396,192.718091
-2877.610015,281,194.098841
-3119.133077,313,195.650607
-3869.387338,394,197.723213
-3846.663992,391,199.631945
-3813.931077,389,201.532227
-3106.5961,312,203.172062
-3591.335792,365,205.03627
-3461.456623,344,206.732423
-3802.138138,375,208.681647
-4939.220792,500,211.13714
-2541.3088,241,212.382419
-4703.617654,500,214.821367
-2551.523831,242,216.107685
-3902.0761,400,218.079807
-4424.894392,450,220.273697
-3849.511846,375,222.194461
-3135.476408,315,223.825732
-3090.988215,309,225.442871
-3372.393269,311,227.048054
-4710.170854,471,229.431082
-4148.458623,390,231.288834
-2868.3685,287,232.716259
-3723.917315,377,234.574026
-4177.901485,423,236.709944
-4127.426162,418,238.794384
-5051.097431,500,241.192607
-4010.4055,407,243.262275
-2164.716146,210,244.318155
-2610.396654,244,245.605188
-4033.712562,388,247.552937
-3431.287669,350,249.446059
-2244.732777,268,252.186856
-1154.159362,210,255.292163
-1571.976123,293,259.628209
-978.438546,341,265.010504
-497.594862,307,269.85939
-488.638538,242,273.378057
-780.335801,327,278.197298
-638.435869,338,283.516465
-411.841424,318,288.371472
-332.615515,294,292.798305
-272.066686,265,296.709289
-287.926977,303,301.40998
-285.286792,296,305.952793
-335.067085,345,310.987573
-344.949768,293,315.293804
-251.195177,280,318.672554
-337.47271,320,322.054341
-297.344946,344,327.04719
-294.484323,345,332.178531
-278.636454,213,335.458719
-193.959752,261,339.376118
-199.596015,304,343.842751
-200.749954,314,348.292839
-277.541278,310,352.999681
-372.226454,293,357.666896
-336.3696,466,364.376585
-314.062169,256,368.048843
-183.820862,227,371.237467
-305.010331,273,374.196898
-283.030738,302,378.406659
-209.705843,294,382.72466
-236.948543,278,386.751357
-228.641408,217,389.365372
-307.964485,342,393.351681
-424.467646,354,398.381953
-388.480254,371,403.619339
-281.186379,319,408.567644
-492.835762,323,413.099039
-218.929746,264,417.372982
-230.979271,329,422.357819
-362.379438,339,427.779437
-273.675992,300,432.089594
-368.654108,283,436.11378
-226.014215,243,439.623815
-303.070763,250,443.440341
-333.140331,299,448.08929
-316.470335,278,452.077096
-265.813185,292,456.333722
-454.628615,469,463.673872
-226.974074,279,467.82319
-207.342568,244,471.333633
-325.998062,358,476.434331
-591.652223,402,482.986879
-157.546492,219,486.042939
-209.144674,304,490.294237
-280.944792,275,494.307408
-249.929162,423,501.042094
-315.045951,324,505.801156
-286.539883,382,511.428468
-323.384962,359,516.87477
-366.69245,334,521.790796
-278.971308,380,527.323812
-288.786365,244,530.818944
-324.794092,259,534.544869
-276.437062,252,538.305776
-225.482951,235,541.754191
-267.769938,341,546.73209
-334.488123,291,551.04197
-505.493992,365,556.655086
-324.129546,222,559.927619
-192.249715,301,564.31812
-220.866092,215,567.452281
-253.770831,301,571.410772
-432.253977,368,576.614099
-210.329111,258,580.373183
-319.876277,292,584.62782
-199.433563,316,589.761223
-363.622092,321,594.397596
-394.320723,369,599.741871
-245.163374,298,604.178381
-165.093079,226,607.832309
-389.288462,386,613.357394
-319.617177,336,618.305007
-113.263018,283,622.588007
-410.890323,381,627.95204
-216.831488,245,631.514552
-343.538076,365,636.820176
-280.8936,325,641.884117
-299.823323,312,646.759558
-319.039308,286,650.878536
-359.405531,317,655.516678
-340.636446,332,660.634124
-223.3934,270,664.732991
-274.363331,270,668.729002
-154.98958,255,672.411522
-191.916885,316,677.107358
-304.559931,313,682.075514
-238.052038,337,686.875335
-202.478669,222,689.989654
-415.815846,296,694.319719
-416.504369,375,700.266624
-339.583369,307,704.575109
-253.575477,268,708.324109
-283.325092,242,711.869226
-282.121638,347,717.365187
-267.420431,277,721.48198
-369.485423,263,725.311368
-306.227991,369,730.971472
-445.915685,444,737.470249
-275.0663,371,742.927341
-390.482646,312,747.55177
-548.491068,407,753.194513
-255.621132,331,758.028347
-502.273315,352,763.20006
-204.084854,339,767.579622
-455.184862,344,772.653059
-223.365046,293,776.964562
