#{"t_start": 1676294628.4441056, "env_id": null}
r,l,t
-5288.847833,500,6.347195
-5218.13759,500,12.75771
-5364.692176,500,19.273176
-5312.411043,500,25.392457
-5348.538755,500,31.756264
-5278.879775,500,37.861693
-5466.801786,500,44.000786
-5540.849482,500,50.496402
-5309.385831,500,56.658509
-5469.607708,500,62.655037
-5267.656569,500,68.600843
-5302.908876,500,74.705973
-5370.563822,500,80.973348
-5365.067059,500,87.238894
-5252.892757,500,93.255652
-5313.009763,500,99.318
-5411.629882,500,105.391544
-4790.386116,439,110.710555
-5466.798122,500,117.044551
-5356.256298,500,123.159863
-5339.402296,500,129.479228
-5280.234831,500,135.586407
-5237.16642,500,141.634221
-5353.863435,487,147.80364
-5466.924784,500,154.021832
-5341.290106,500,159.809791
-5363.009649,500,165.913093
-5268.633743,500,171.961259
-5335.59498,500,178.200199
-5354.899488,500,184.47029
-5150.407386,472,190.442612
-5409.590531,500,196.557962
-5264.92972,500,202.627454
-5402.468404,500,208.586585
-5297.779076,500,214.711518
-5199.984194,472,220.510833
-5342.270733,500,226.786938
-5270.378445,500,232.818301
-5442.265645,500,238.841393
-5348.669312,500,245.162238
-5415.401671,500,251.400979
-5378.030647,500,257.759162
-5303.078724,500,263.991939
-5226.5763,500,270.384321
-5286.845592,500,276.718132
-5293.969255,500,283.130123
-5490.205008,500,289.41063
-5458.634759,500,295.55848
-5239.595863,500,302.006272
-4995.387647,453,307.788068
-5267.26599,500,314.072022
-5196.178218,500,320.176626
-5358.223894,500,326.181849
-5323.563414,500,332.148482
-5508.370198,500,338.351008
-5183.951341,500,344.450168
-4937.3416,460,350.240048
-5391.236569,500,356.528883
-5331.598543,500,362.85549
-5577.996875,500,368.961538
-5219.047359,500,375.338376
-5345.540624,500,381.553046
-5428.472335,500,387.94872
-5430.082024,500,393.893948
-5313.244329,500,400.030954
-4886.677343,437,405.555061
-5010.031775,472,411.250685
-5413.375196,500,417.377361
-5329.231335,500,423.608649
-5456.172261,500,429.76684
-5128.744698,500,435.929721
-5335.310412,500,442.229712
-5534.334263,500,448.213928
-5240.494347,500,454.439892
-5258.706108,500,460.632547
-5274.721769,500,466.855496
-5236.137582,500,472.987838
-5231.841357,500,479.242974
-5429.231598,500,485.418514
-5329.461753,500,491.498493
-5355.217484,500,497.532423
-5298.341569,500,503.92856
-5388.497427,500,510.454921
-5544.753233,500,516.604673
-5231.91211,500,522.867264
-5036.141414,461,528.472026
-5128.119843,473,534.387331
-5230.727529,500,540.698836
-5275.235808,500,546.74246
-5149.694969,500,552.842503
-4487.210369,417,557.976985
-5355.543982,500,564.264675
-5483.582239,500,570.339139
-5417.649659,500,576.488461
-5441.367075,500,582.594101
-4563.889406,427,587.695255
-5253.928586,496,593.675223
-5351.612386,500,599.7105
-5326.961127,500,605.834255
-5223.756671,500,611.954566
-5210.956229,500,618.331099
-3782.736473,395,630.460933
-3318.020169,500,645.511741
-3917.32129,494,659.030069
-1203.432453,500,674.412407
-920.515129,500,690.681823
-1109.355684,500,707.052233
-713.55038,500,723.380636
-477.10688,449,737.706094
-648.896269,472,752.766661
-461.353714,438,766.877402
-493.445527,500,783.216195
-630.572659,495,799.251467
-478.102802,500,813.9666
-376.421584,500,827.684857
-292.634259,500,843.501887
-592.420129,500,859.469501
-566.300184,500,875.477517
-315.513478,402,888.38905
-453.153353,500,904.51221
-410.928745,448,919.156422
-510.37509,500,935.392822
-459.930037,500,951.772336
-464.615135,500,968.052149
-669.543276,500,982.572089
-391.890104,396,993.313341
-465.921169,500,1008.948444
-439.324208,480,1024.309788
-342.162898,459,1039.105865
-424.694247,500,1055.654848
-437.475861,474,1070.971799
-440.408035,500,1087.025386
-465.3044,500,1103.587166
-406.716876,500,1120.167998
-331.487259,429,1134.062784
-616.755222,500,1148.701367
-479.958216,500,1162.710692
-373.498273,500,1178.913484
-710.184315,500,1195.207259
-304.630059,500,1211.610887
-338.468232,452,1226.162069
-470.580912,500,1242.236405
-555.178559,500,1258.301718
-583.630602,500,1274.386541
-509.679278,500,1290.298208
-696.645031,500,1306.039643
-554.462529,500,1319.783548
-362.290134,500,1333.631051
-412.537947,420,1347.078022
-399.101625,470,1362.04616
-413.432237,482,1377.497869
-426.540282,500,1393.559477
-531.166914,482,1408.991355
-427.33288,499,1425.031287
-256.001794,440,1439.210725
-412.493908,500,1455.386854
-475.748612,464,1470.584974
-374.980814,500,1484.787645
-420.508394,470,1498.018198
-358.109492,500,1514.067903
-396.300324,462,1529.04523
-362.740798,500,1545.22521
-314.233375,500,1561.130183
-359.836578,413,1574.488601
-664.693924,500,1590.632964
-480.904971,500,1606.770073
-558.552189,500,1622.736494
-683.845778,500,1638.661444
-513.203953,490,1652.211743
-402.296076,500,1665.423169
-345.322667,500,1679.596462
-388.054833,500,1695.83446
-333.648045,476,1711.224936
-524.455471,500,1727.129183
-477.645837,481,1742.888671
-414.629573,457,1757.621427
-518.567137,448,1772.052631
-367.485602,500,1788.235242
-513.896631,500,1804.151512
-343.092108,500,1819.712482
-439.313871,500,1833.69991
-414.780592,479,1847.926566
-451.871049,500,1863.907474
-434.283143,500,1880.118394
-596.266875,491,1896.029319
-416.919182,500,1912.026106
-591.988476,500,1928.021311
-520.471176,500,1944.129716
-286.345584,423,1957.621013
-579.449482,500,1973.685098
-466.791765,500,1989.139185
-459.644333,500,2002.456465
-451.170829,481,2016.954443
-527.5714,500,2033.006494
-476.037612,500,2049.199967
-327.425453,384,2061.350162
-293.216682,482,2078.588518
-461.017551,500,2094.746471
-710.581688,493,2110.60204
-289.721127,500,2126.601925
-403.390329,481,2142.194427
-371.091227,471,2156.845312
-527.257641,469,2169.657875
-473.101124,456,2181.840819
-342.299598,500,2197.890283
-436.239849,417,2211.27711
-365.069865,500,2227.344861
-406.106275,500,2243.366461
-499.230314,452,2257.859299
-293.476035,500,2273.853842
-467.121855,427,2287.877245
-470.001759,500,2304.336505
-333.717076,500,2320.427246
-273.113767,500,2335.308738
-334.201547,414,2346.677501
-329.584292,487,2362.013143
-356.368484,477,2377.27989
-404.141469,454,2391.895239
-232.594649,500,2407.943842
-382.626237,500,2423.827117
-415.433794,444,2438.058778
-386.89648,424,2451.628901
-417.08482,491,2467.543327
-489.061543,500,2483.585694
-436.261133,500,2498.560562
-477.382794,500,2512.51294
-435.500604,477,2527.146282
-446.883671,500,2543.482362
-399.207184,408,2556.431238
-346.728629,500,2572.551607
-625.029747,500,2588.683706
-330.495443,500,2604.759788
-517.10039,500,2620.972076
-455.068986,500,2637.100515
-324.286053,454,2650.736646
-335.501959,500,2666.287898
-433.2014,492,2679.086671
-592.163518,457,2691.407744
-277.3773,431,2705.394238
-519.719886,500,2721.653356
-457.750375,500,2737.868165
-390.079302,500,2753.813744
-417.946527,500,2769.780354
-314.685401,467,2784.825353
-401.782251,452,2799.662645
-250.465308,500,2815.972862
-564.855582,500,2832.074557
-502.261604,483,2844.856054
-543.962463,500,2857.637174
-520.5639,500,2870.889416
-470.40842,500,2884.9101
-321.36098,455,2899.509836
-475.735651,500,2915.440326
-384.142427,426,2929.048909
-442.050251,500,2945.009702
-267.219122,500,2960.702453
-622.718125,493,2976.470978
-486.444343,500,2992.530697
-491.932155,500,3008.974309
-601.952222,500,3024.776278
-404.327502,500,3038.894312
-585.839825,418,3051.345432
-375.831684,500,3067.416069
-467.972537,479,3082.625482
-289.713708,500,3098.745292
-412.0752,466,3113.983086
-455.506137,500,3130.087068
-727.856033,500,3146.404572
-325.655482,500,3162.887475
-580.207798,471,3178.093713
-456.48109,500,3193.409513
-461.794151,452,3205.816984
-304.048912,500,3221.00514
-390.540306,500,3237.163956
-368.3057,411,3250.266357
-549.140329,488,3265.987377
-416.596359,500,3282.03319
-415.630937,494,3298.148574
-590.092267,500,3314.360817
-369.680851,484,3329.892172
-485.972229,500,3346.395987
-354.768206,500,3361.224671
-532.7493,500,3374.876287
-713.553558,500,3390.491965
-680.829865,473,3405.484015
-288.787182,500,3421.557324
-385.147765,452,3436.244189
-384.421586,500,3452.218938
-673.472016,500,3468.185513
-242.531763,500,3484.250986
-400.531924,462,3499.037323
-564.714788,500,3515.065043
-417.380361,462,3528.446858
-439.093606,492,3541.95117
-608.623573,500,3557.963506
-485.319157,500,3573.882255
-376.978912,500,3589.888422
-439.136337,482,3605.425569
-544.217382,500,3621.339112
-507.299678,443,3635.476274
-411.023539,500,3651.478381
-545.676925,500,3667.613817
-794.858496,500,3683.746215
-405.971969,480,3697.114595
-227.438898,500,3711.072152
-451.658169,500,3727.093617
-594.071349,483,3742.42171
-604.577992,446,3756.82801
-384.549069,410,3769.98737
-685.126345,500,3785.970949
-560.090575,390,3798.417745
-405.346202,446,3812.783939
-328.138012,500,3829.18628
-665.078635,500,3845.538112
-289.069936,399,3857.573426
-678.712202,473,3870.530324
-513.486433,500,3885.781939
-400.212402,500,3901.687757
-259.693069,500,3917.748044
-526.830924,474,3932.867281
-582.315531,500,3948.937757
-426.528431,500,3965.123996
-384.608812,443,3979.443577
-263.862143,381,3991.982538
-426.433624,500,4008.090676
-594.631925,446,4021.616429
-375.810112,500,4035.248374
-387.677651,437,4047.859479
-381.210849,500,4063.703077
-338.064427,500,4079.791266
-646.662151,499,4095.814378
-285.602983,500,4111.61483
-632.5903,474,4126.781716
-386.367145,423,4140.236841
-506.211769,491,4156.184839
-471.931304,500,4172.451022
-337.700727,431,4186.238121
-690.295641,472,4198.992861
-586.430908,477,4211.525177
-580.282443,500,4227.480257
-521.717535,399,4240.396199
-575.776247,500,4256.614182
-484.345604,500,4272.903814
-561.482204,500,4289.236066
-571.848747,500,4305.555691
-260.850004,500,4322.046015
-502.685625,489,4338.126028
-563.907676,486,4354.139814
-537.832612,454,4366.713034
-444.85752,500,4381.094546
-432.15852,472,4396.337601
-418.274845,407,4409.325336
-581.981206,500,4425.614746
-609.008727,500,4441.69194
-505.814351,500,4457.735997
-346.304155,460,4472.736814
-393.455941,500,4488.976463
-297.880065,419,4502.811649
-375.26939,500,4518.748894
-548.450757,500,4533.074218
-682.061531,500,4546.399942
-377.167361,500,4561.926372
-478.7221,500,4578.196628
-492.496565,500,4594.179162
-451.798343,412,4607.445553
-341.156284,500,4623.787066
-275.096441,500,4639.876073
-557.271469,500,4655.850884
-354.877798,500,4672.136703
-432.466427,500,4687.933115
-247.943041,398,4699.474862
-463.670131,500,4712.430051
-494.167845,500,4726.749712
-507.209731,447,4741.071223
-463.664133,500,4756.963408
-519.86508,460,4771.690695
-277.622541,500,4787.56125
-476.370804,433,4801.302974
-448.103047,500,4817.64282
-370.617408,497,4833.896298
-399.954929,500,4850.028715
-429.088402,500,4866.147969
-538.019525,500,4879.407526
-612.390929,500,4893.525801
-659.923392,500,4909.646972
-771.709292,500,4925.515805
-330.99108,500,4941.710511
-416.588431,500,4957.749969
-492.497196,434,4971.762016
-436.690188,479,4987.035243
-433.119692,500,5003.265518
-678.745782,328,5013.791853
-466.961514,500,5029.84618
-517.774967,500,5044.594479
-453.853112,500,5058.183101
-531.322571,466,5072.898012
-409.282631,500,5088.993035
