#{"t_start": 1675266076.3671217, "env_id": null}
r,l,t
-5245.966208,500,19.751973
-5337.922245,500,27.292773
-5261.50979,500,35.421547
-5580.826825,500,43.82142
-5379.048247,500,51.73712
-5364.351724,500,59.701585
-5218.881431,500,67.485672
-5467.141592,500,75.369757
-5469.435139,500,83.332289
-5362.601786,500,91.329067
-5363.781237,500,99.522114
-5436.494937,500,107.449875
-4516.038314,424,113.896593
-5249.138161,496,121.92082
-5401.648676,500,129.515618
-5389.652014,500,136.962615
-3833.654518,349,142.68244
-5419.447859,500,150.501929
-5345.863459,500,158.646363
-5456.031671,500,166.609136
-5442.076149,500,174.900749
-5397.060408,500,182.863039
-5325.944637,500,190.642249
-4505.250394,409,197.429306
-5395.945229,500,205.975472
-5461.988675,500,214.051578
-5377.608431,484,221.757782
-4543.669576,415,228.437474
-4821.883667,440,235.43611
-5394.334865,500,243.21143
-5446.663965,500,251.828439
-5422.327475,500,260.220871
-5221.465439,500,268.049646
-5330.284704,500,276.232729
-5513.914996,500,284.350741
-5097.255788,480,291.906623
-5624.682792,500,300.190763
-5236.960406,500,308.293328
-5305.820469,500,316.495239
-5457.955202,500,324.932338
-5374.822265,500,332.898099
-5445.941796,500,340.915348
-5584.329551,500,348.726257
-4623.699294,430,355.680041
-5385.66338,500,363.46281
-5325.271949,500,371.826339
-5335.208288,500,380.061235
-5512.691076,500,388.218216
-4615.532382,436,395.263855
-5174.235539,496,403.361032
-5239.779149,500,411.594685
-5556.865231,500,419.731682
-5368.844798,500,427.974487
-5398.764945,500,436.419687
-5472.684033,500,444.70542
-5488.800306,500,453.058355
-5364.30671,500,461.434271
-5490.597902,500,469.253759
-5341.503239,500,477.638354
-5170.069206,500,485.97389
-5360.107078,500,494.506243
-5425.504,500,502.729303
-5410.885165,500,511.174484
-5134.511437,466,518.455611
-5373.964247,500,526.763302
-4544.537588,419,533.927509
-5449.039504,500,541.943591
-5466.635627,500,549.785057
-5350.51978,500,558.049763
-5215.927063,483,565.621325
-5402.938345,500,574.145455
-5529.274725,500,582.601424
-5431.585718,500,590.907858
-5337.598508,500,598.46006
-5476.630702,500,605.895468
-5337.418269,487,613.929967
-5440.155894,500,622.106596
-5371.76838,500,630.512593
-5344.912416,500,638.59322
-5387.701378,492,646.655242
-5418.802255,500,655.011045
-5300.464698,500,663.64771
-5008.093922,463,670.808527
-5598.494294,500,679.02164
-5287.043784,500,686.940185
-5568.37728,500,695.056711
-5485.402853,500,703.267871
-5192.500465,500,711.11727
-5331.286292,500,719.37177
-5396.720016,500,727.558116
-5249.112831,500,735.621039
-5154.058606,500,743.522441
-5442.971816,500,751.718688
-4751.841041,431,758.800974
-5408.191639,500,766.556687
-5368.979796,500,774.504709
-5377.695249,500,782.479631
-5116.116969,500,790.556241
-5322.568278,500,798.737148
-5380.270843,500,806.740034
-5378.632263,500,814.983967
-5536.176949,500,824.635687
-2421.133576,500,842.397727
-3676.401029,477,859.41803
-2218.847208,400,874.325738
-3716.184763,500,892.262138
-4830.136702,500,910.487809
-2359.891324,392,924.524461
-4131.808735,428,940.377343
-3387.373116,500,958.951208
-2240.791098,475,976.155782
-3076.865084,500,993.969092
-3609.435535,500,1012.629644
-3368.864667,500,1031.058008
-3775.031325,474,1048.556973
-3233.27399,449,1065.292293
-3223.920192,500,1083.981039
-2362.776549,500,1102.595154
-1308.451102,445,1118.906733
-747.445375,500,1136.872176
-632.69749,399,1150.991169
-728.691796,432,1166.902018
-730.896143,500,1184.502285
-835.85028,484,1201.809827
-774.924731,487,1219.444583
-780.823651,441,1235.803499
-1072.091739,457,1252.96268
-733.510547,416,1267.901386
-903.465429,491,1285.107377
-1037.774298,459,1301.722771
