#{"t_start": 1676282226.6493795, "env_id": null}
r,l,t
-5452.293725,500,12.824883
-5452.120798,500,19.005417
-5365.141333,500,24.679617
-5274.631839,500,30.928359
-5353.081653,500,37.084751
-5395.593163,500,43.28849
-5398.855004,500,49.677285
-5402.550198,500,56.045201
-5092.266814,500,62.343593
-5180.642914,494,68.108319
-5400.959876,500,74.283247
-5332.426624,500,80.326893
-5362.64349,500,86.450342
-5240.282169,500,92.556791
-5375.549831,500,98.761472
-5286.008847,500,104.844514
-5379.99258,500,110.818686
-5305.939751,500,117.09712
-5319.732604,500,123.291632
-5136.309598,500,129.509079
-5412.334359,500,135.446724
-5237.094829,500,141.800886
-5218.017127,500,147.910345
-5239.949006,500,153.860907
-5384.961378,500,160.039578
-5215.609869,500,166.237027
-5272.830118,500,172.382704
-5009.630759,458,178.028449
-5622.496357,500,184.37238
-5419.07182,500,190.58226
-5271.798351,500,196.548267
-4030.13601,367,200.973131
-4405.867178,417,205.827955
-5345.167259,500,211.886749
-5334.487865,500,217.934724
-5435.927106,500,224.335925
-5431.03642,500,230.612198
-5075.465925,470,236.431729
-5344.825488,500,242.668911
-5399.523229,500,248.788273
-5284.662194,500,254.883588
-5123.473712,500,260.808493
-5175.052865,474,266.685017
-5510.469669,500,272.609165
-5230.32581,500,278.79352
-5318.780708,500,284.950418
-5350.381418,500,291.436064
-5459.573475,500,297.657853
-5285.616729,493,303.632373
-5202.731145,489,309.536073
-5423.597816,500,315.824902
-5043.601149,500,322.158648
-4433.966071,413,327.187596
-4699.380151,435,332.417098
-5298.064606,500,338.675365
-5321.661763,500,344.812186
-5275.882939,491,351.02517
-5465.165618,500,357.253289
-5296.561478,500,363.395581
-5025.994751,458,369.213902
-5497.926931,500,375.437743
-4312.720804,406,380.361698
-5204.177643,500,386.259733
-5507.75381,500,392.499993
-5441.643,500,398.787406
-5384.797749,500,404.790279
-5489.738084,500,410.977984
-5555.382078,500,416.938894
-5116.836027,481,422.984624
-5500.47041,500,429.242218
-5498.287151,491,435.28707
-5438.886625,500,441.374087
-5369.008947,500,447.563691
-5205.533649,500,453.861742
-4498.171578,412,458.790711
-5267.52359,500,465.166883
-5008.957976,455,470.731002
-5395.011155,500,476.659525
-5281.341496,500,482.877085
-4906.210724,450,488.381531
-5484.713137,500,494.292851
-5345.210555,500,500.505709
-5253.986022,500,506.545379
-5581.873692,500,512.628441
-5444.359833,500,518.7488
-5281.81772,500,524.749681
-5215.969575,500,530.814093
-5371.0217,500,536.912592
-5064.733088,469,542.798486
-5232.889592,500,549.098407
-5371.983792,500,555.386691
-5184.197404,500,561.476407
-5375.504604,500,567.424437
-5236.41498,500,573.42185
-5288.382924,500,579.312986
-5320.005433,500,585.216083
-5415.859755,500,591.451137
-5421.333584,500,597.606096
-5146.942449,500,603.868175
-5280.421235,500,609.849252
-5129.539633,468,615.612895
-5472.834759,500,622.493654
-4565.462953,468,633.642642
-3579.55578,500,645.704426
-3190.112584,497,657.725695
-1040.487302,500,669.609434
-1091.862694,500,681.549194
-1062.33899,500,693.487437
-1222.615224,500,705.391783
-466.676176,500,717.351658
-731.549345,500,729.321555
-526.669508,500,741.271808
-410.371,444,751.9009
-579.381486,500,763.718879
-573.013708,500,775.708582
-474.211675,437,786.226961
-561.192984,495,797.994313
-586.914298,500,809.937934
-483.713198,489,821.579931
-510.142555,500,833.493811
-304.558971,500,845.416333
-488.754459,500,857.269753
-890.692906,500,869.241111
-638.828837,500,881.152928
-597.541796,496,893.450369
-440.358608,500,906.071574
-400.621455,500,918.382817
-700.498881,500,930.838073
-384.732422,500,943.208536
-564.850692,451,954.310309
-431.707324,498,966.752863
-529.236596,500,979.205645
-383.062669,500,991.424053
-443.991986,500,1003.732494
-310.715082,500,1015.637159
-413.291829,500,1027.493235
-333.718131,357,1036.031678
-437.466227,500,1047.93006
-420.269967,493,1059.707147
-404.314669,500,1071.695885
-446.792824,416,1081.550981
-338.06781,383,1090.691011
-465.1243,500,1102.573282
-412.72722,500,1114.522571
-820.476718,495,1126.320609
-347.710506,393,1135.70189
-437.502222,500,1147.74093
-384.875204,500,1159.659315
-428.396675,450,1170.49804
-288.332809,500,1182.52682
-483.371112,465,1193.588953
-329.972969,500,1205.54625
-451.251961,500,1217.521946
-356.704927,383,1226.747415
-397.849025,470,1238.002124
-259.143998,370,1246.858863
-512.598756,480,1258.380296
-402.890308,470,1269.682054
-430.614984,463,1280.856758
-298.975792,421,1290.903431
-458.757553,500,1302.883327
-628.192273,500,1315.171863
-668.804825,472,1326.867212
-394.854653,500,1339.371264
-575.882841,500,1351.729137
-459.213398,454,1363.071022
-277.1341,361,1371.809278
-351.134175,500,1383.763484
-345.07942,415,1394.122856
-447.7766,449,1405.269827
-403.223676,449,1416.33572
-310.071218,395,1426.190189
-511.655484,431,1437.081226
-264.186555,421,1447.274351
-553.884433,500,1459.676666
-483.201265,500,1471.867769
-396.976741,500,1483.954846
-465.297424,500,1496.624572
-343.973384,500,1508.829963
-356.526118,407,1518.670171
