#{"t_start": 1675266076.2974105, "env_id": null}
r,l,t
-5662.246241,497,26.316523
-5555.54431,500,39.31319
-5510.246945,500,51.87356
-5417.586586,500,64.569067
-5238.673498,471,88.999228
-4939.277039,453,100.412313
-5303.478865,500,113.111442
-5453.13298,493,125.583631
-5282.633753,500,151.18522
-4731.643598,455,162.687047
-5417.899678,500,175.298491
-4782.874233,435,186.276074
-5253.69792,500,211.683669
-5405.157102,500,224.223325
-5330.908522,500,236.725822
-4732.618163,435,247.554071
-5356.013265,500,273.239481
-5368.687684,483,285.602751
-5339.208827,500,298.267015
-5430.042878,500,311.250897
-5236.803433,500,323.854942
-4387.469659,397,346.289289
-5220.117608,500,358.994812
-5388.932249,500,371.717214
-4194.133986,392,381.753323
-5245.861392,479,406.593192
-5316.181422,500,419.409866
-5462.481961,500,431.749948
-5397.33542,500,444.462504
-5186.965147,493,469.545242
-5313.631116,500,482.089657
-5200.697506,500,494.437965
-5070.932214,500,506.748373
-5246.159406,500,531.768317
-5368.816265,500,544.403573
-5337.669996,500,556.830118
-5369.741557,500,569.724747
-5210.862592,500,595.224316
-5111.676325,500,607.847488
-5306.974716,500,620.47612
-5210.244939,500,633.152628
-5179.498349,500,658.316827
-5060.181457,478,670.353024
-5099.89322,500,682.988697
-5092.3774,500,695.380628
-5212.912816,500,708.379634
-4996.176053,500,733.620619
-5211.256437,500,744.984162
-5164.641041,500,757.58665
-5123.525196,500,769.905634
-5115.500835,500,795.243719
-4927.317837,500,807.507099
-5161.632192,500,820.142822
-5246.822324,500,832.586009
-5024.477594,500,857.702698
-5075.335429,500,870.434542
-5083.156906,500,880.775554
-5132.958339,500,886.099409
-5178.19411,500,897.680059
-4921.755057,500,904.779288
-4839.526894,500,915.329659
-5022.071794,500,924.731982
-5070.703973,500,945.66721
-4889.204502,500,956.0202
-4820.594273,500,966.89663
-4931.181853,500,977.592811
-4988.276237,500,998.321926
-5008.72759,500,1008.041915
-4866.525514,500,1018.51482
-4820.328592,500,1028.602683
-4928.367043,475,1045.590187
-4848.420525,500,1056.41303
-4820.066341,500,1067.051716
-4919.052418,500,1076.091116
-4984.404696,500,1097.442497
-4743.235716,500,1108.440569
-4833.120251,500,1119.34835
-4731.394631,500,1129.881299
-4956.862849,500,1145.890553
-4896.835239,500,1155.048318
-4849.598871,500,1165.592599
-4830.775914,500,1176.022091
-4778.217861,500,1187.282129
-4503.802251,500,1196.92756
-4718.951516,500,1205.724647
-4454.796447,500,1218.063414
-4778.575702,500,1230.715148
-4640.608149,500,1255.977813
-4640.032665,500,1268.935702
-4731.623814,500,1281.351762
-4664.305755,500,1293.889742
-4422.408973,500,1319.400021
-4637.413025,500,1332.281708
-4474.542341,500,1345.085234
-4485.733925,500,1357.765851
-4485.364145,500,1383.780749
-4470.339484,500,1396.649151
-4396.771904,500,1409.845998
-4583.465992,500,1422.56512
-4379.491696,500,1448.246825
-4494.186235,500,1460.558555
-4343.516878,500,1469.504332
-4404.266916,500,1475.542189
-4222.080486,500,1484.555236
-4279.705331,500,1489.683534
-4252.097941,500,1495.099039
-4352.551569,500,1500.553894
-4303.787327,500,1509.444765
-4281.532496,500,1514.709955
-4150.608859,500,1519.910161
-4129.997945,500,1525.013811
-4368.148212,500,1533.94776
-4118.889222,500,1539.339741
-4069.578627,500,1545.474466
-3879.202867,500,1550.858638
-4212.746798,500,1559.829995
-3958.324016,500,1565.120302
-3737.7817,500,1569.987807
-4096.844073,500,1575.104847
-4060.348018,500,1584.238036
-3701.975975,500,1589.567877
-3840.010888,500,1594.864954
-3712.418808,500,1600.047321
-3724.213635,500,1605.199674
-3831.818476,500,1614.722215
-3674.233976,500,1620.016146
-3574.822437,500,1625.184489
-3382.01,500,1630.509894
-3350.123945,500,1640.724206
-3565.289216,500,1646.605844
-3518.287251,500,1652.230723
-3700.431875,500,1657.42261
-3234.809318,500,1666.455268
-3448.998467,500,1671.585831
-3324.450912,500,1676.617507
-3293.063682,500,1681.770676
-3212.927365,500,1691.326288
-3255.011996,500,1696.490745
-2883.578582,500,1701.505012
