#{"t_start": 1675255350.5052695, "env_id": null}
r,l,t
-1350.5536,295,0.946368
-456.863536,88,1.181042
-1212.9189,266,1.903488
-2059.488326,500,3.374112
-557.6054,90,3.644936
-687.275,130,4.023293
-979.293,212,4.597637
-1567.7071,341,5.52087
-1016.6722,228,8.248964
-1172.0854,294,9.16647
-981.552416,219,9.811819
-1381.7037,319,10.731494
-1942.8289,500,12.223312
-2031.947268,487,13.544469
-958.429289,225,16.217092
-830.622404,229,16.830687
-737.6383,162,17.266072
-1763.349001,500,18.619516
-673.507207,197,19.148911
-1469.903209,408,20.248501
-1872.6832,500,23.660251
-620.583089,159,24.134821
-1585.761768,500,25.607124
-231.0631,40,25.717381
-1054.561494,291,26.531436
-1632.7063,500,27.978514
-1576.828589,500,29.331666
-1302.463732,446,32.512086
-867.7882,234,33.086483
-715.37374,232,33.653055
-429.547378,119,33.943186
-1369.425296,500,35.179721
-1503.725621,500,36.396392
-745.659863,279,38.631011
-746.341777,280,39.325227
-1083.310542,413,40.48589
-1470.625837,500,41.695481
-1265.363611,414,42.694321
-880.01,293,44.976159
-1228.282182,500,46.293105
-1304.762689,500,47.654886
-1209.44826,477,49.037525
-1397.445223,500,52.400335
-927.320033,341,53.233968
-1295.277216,500,54.626791
-232.790522,75,54.846383
-856.0575,330,55.739539
-1071.911477,493,57.068077
-998.722733,500,60.197807
-1124.50176,500,61.422818
-1056.484768,500,62.660136
-1117.778327,500,63.941845
-527.478701,208,64.448553
-1083.80618,500,67.851698
-1093.886649,500,69.202919
-1074.272446,500,70.586803
-1056.155149,500,71.947366
-910.642204,500,75.121204
-957.873413,500,76.341149
-295.010101,121,76.626227
-889.417618,500,77.851594
-850.533187,500,79.069597
-1038.116089,500,81.940947
-830.239264,500,83.354396
-716.783058,388,84.449861
-903.489217,500,85.777803
-785.633895,500,88.795774
-576.940174,287,89.479799
-649.050679,335,90.329623
-432.049589,217,90.966888
-527.52653,307,91.813313
-787.355129,476,93.135007
-936.04386,485,96.209387
-759.611053,500,97.391053
-859.754803,500,98.720647
-812.976688,500,100.140672
-560.564773,338,103.097263
-812.817324,500,104.298265
-744.753095,500,105.493294
-496.961437,306,106.234629
-734.180147,500,107.452787
-696.168982,500,110.245233
-445.761886,290,110.932759
-667.231234,500,112.104275
-398.462253,269,112.755693
-675.379806,500,113.925988
-573.96267,422,116.69574
-430.187409,286,117.556153
-277.701233,154,117.96191
-333.102067,185,118.460979
-430.218916,263,119.174127
-830.745227,475,120.460329
-504.648312,285,121.203631
-303.013787,164,123.428429
-646.734017,500,124.688191
-212.129533,92,124.910778
-739.516912,500,126.122575
-316.071553,208,126.634237
-287.111194,164,127.023878
-222.601511,148,127.3731
-693.1899,500,130.293435
-169.250268,62,130.4397
-227.116805,121,130.724258
