#{"t_start": 1675964197.9248855, "env_id": null}
r,l,t
-4943.813077,500,3.307579
-3065.432138,308,5.147013
-4995.176815,500,8.093339
-3240.820215,317,10.056133
-2255.3766,209,11.361478
-2574.2345,266,18.430527
-4490.107254,492,21.531839
-4610.004438,500,24.53534
-4037.992492,432,27.080196
-4569.113846,500,30.116222
-4108.270123,500,38.529845
-3977.1263,500,41.553065
-4038.568154,500,44.44438
-4150.868185,500,47.300849
-3808.253062,500,55.483254
-3448.434508,500,58.497391
-3488.262569,500,61.438227
-3544.167415,500,64.459899
-2852.883962,500,72.427709
-2770.868323,500,75.570527
-2607.073815,500,78.595243
-2572.570985,500,81.696892
-2390.4916,500,90.058201
-2201.853246,500,93.137584
-2145.427846,500,96.278353
-2177.812431,500,99.413994
-2016.749292,500,107.532453
-1923.243946,500,110.664366
-1815.201731,500,113.77947
-1999.875423,500,116.890353
-1721.5763,500,125.363764
-1488.8245,500,128.465119
-1746.792385,500,131.537744
-1486.293062,500,134.669115
-1494.375154,500,142.820979
-1503.958338,500,145.887834
-1398.0608,500,149.039379
-1502.233715,500,152.249911
-1415.880623,500,160.532918
-1057.981777,500,163.586727
-1223.138546,500,166.65982
-1239.009285,500,169.794052
-1157.725638,500,178.349407
-1052.803154,500,181.440795
-1011.695254,500,184.518765
-1017.360192,500,187.684819
-928.234385,500,190.826447
-813.723492,500,198.898592
-891.276077,500,202.036452
-842.305508,500,205.11989
-800.289169,500,208.220145
-750.915431,500,216.544569
-650.098876,500,219.754967
-724.394338,500,222.947505
-689.443832,500,226.081577
-705.9045,500,233.891149
-665.900246,500,237.022424
-599.919954,500,240.170475
-718.310111,500,243.29549
-635.955923,500,251.710139
-641.156223,500,254.873582
-643.285238,500,258.034216
-534.584579,460,260.925508
-602.379533,500,269.430353
-579.334227,500,272.614607
-450.622625,351,274.8571
-605.483931,500,277.981809
-488.570377,379,280.415451
-558.272967,500,288.927596
-623.050386,500,292.045693
-585.259833,478,295.094973
-550.766052,500,298.261001
-648.75843,500,306.777164
-575.54819,500,310.005477
-582.777327,450,312.844108
-337.216008,305,314.779104
-562.257218,500,323.296287
-529.291512,500,326.441427
-550.014508,500,329.572319
-345.991051,314,331.544432
-531.152969,500,334.64698
-500.313662,493,342.89765
-300.480977,281,344.608827
-518.524102,500,347.764032
-511.3707,500,350.886688
-456.389666,413,353.436119
-336.858717,322,360.682661
-335.769528,341,362.823125
-554.5581,490,365.905142
-380.3413,318,367.857615
-273.32029,257,369.513452
-525.754119,500,377.791592
-334.459404,297,379.684158
-372.558782,336,381.838092
-287.857827,309,383.801405
-544.690461,500,386.947872
-485.618086,500,395.520892
-417.555449,447,398.375419
-501.033913,500,401.623505
-476.660311,500,404.85517
-421.080735,400,407.432377
-465.171798,500,415.964253
-298.244349,312,417.957536
-427.20882,486,420.975413
-371.138059,343,423.141827
-399.997394,440,425.928089
-419.291528,433,433.986618
-411.274535,433,436.735518
-345.378385,389,439.169378
-372.010519,412,441.734527
-394.8859,406,444.289473
-181.62,212,450.536252
-169.5337,179,451.645564
-268.341996,317,453.597835
-312.030573,366,455.921499
-325.993612,391,458.375918
-300.68012,307,460.307748
-370.225113,397,468.020864
-294.7735,355,470.230278
-368.094336,426,472.901394
-315.195361,394,475.408707
-314.215078,399,477.943114
-245.799727,322,479.975962
-272.704971,414,487.866596
-344.07773,450,490.654454
-310.101122,385,493.147066
-260.951937,333,495.222561
-218.3119,304,497.080729
-321.997963,408,504.936491
-188.0822,324,506.919845
-200.510205,264,508.564809
-212.837915,308,510.484294
-219.8233,338,512.542123
-265.310451,421,515.144532
-130.921,186,516.281406
-167.3242,257,522.88949
-202.973024,334,524.945663
-241.319747,393,527.38408
-328.445613,458,530.254984
-231.19971,423,532.885241
-184.710196,286,539.846903
-209.507688,391,542.27097
-195.1291,379,544.605042
-217.699586,384,546.993117
-188.9712,275,548.673327
-173.6685,334,550.707918
-201.213515,363,558.303
-134.9128,338,560.36323
-154.3912,323,562.341034
-168.61578,312,564.263231
-144.5831,250,565.80642
-117.7369,261,567.400379
-118.5866,258,568.974029
-124.323141,263,575.460513
-146.6483,308,577.386798
-137.2528,264,579.020793
-171.839498,356,581.258543
-123.302,190,582.475403
-136.7213,372,584.759888
-173.161202,380,587.110421
-100.6344,199,593.716214
-180.619422,411,596.273569
-125.8879,294,598.101321
-112.446,233,599.553691
-128.628429,320,601.548205
-166.0828,334,603.639513
-111.0181,207,604.909787
-112.34,345,612.182407
-97.8741,208,613.453869
-96.68,247,614.964444
-135.2596,302,616.823149
-157.080375,337,618.907637
-103.667169,292,620.723259
-137.6373,323,622.755498
-104.993,333,630.014411
-109.9957,321,632.000863
-101.2302,297,633.847999
-111.2242,310,635.76152
-114.401,261,637.371866
-124.71749,283,639.160969
-143.711463,321,641.232966
-152.450076,389,648.851727
-111.02,296,650.663525
-134.746275,337,652.721732
-130.5123,251,654.263426
-112.594,282,655.981849
-113.3226,284,657.712821
-112.6259,267,659.358561
-104.64,264,666.301648
-94.98,197,667.578171
-118.88,231,669.037028
-99.64,238,670.493943
-104.5804,245,671.995005
-106.481439,318,673.947877
-103.372157,196,675.153888
-110.610194,328,677.197725
-110.92,280,683.952506
-118.2042,340,686.051453
-104.0213,230,687.484052
-103.8279,302,689.368804
-101.785882,274,691.082523
-114.24,308,692.969038
-90.36,217,694.31793
-103.19451,242,701.184971
-126.779096,282,702.928063
-130.632,302,704.870973
-142.449159,338,707.038788
-128.090588,329,709.068417
-157.296787,378,711.40576
-101.903137,239,712.903879
-93.4605,307,720.072786
-118.526,350,722.251902
-100.2607,290,724.063053
-105.26,293,725.886028
-97.26,237,727.352549
-110.94,297,729.215735
-111.6143,369,736.705153
-88.7496,250,738.302816
-105.7762,286,740.111025
-96.16,337,742.211563
-116.9758,273,743.886202
-106.82,334,745.943721
-111.06,274,747.610457
-105.82,256,749.184209
-83.48,192,755.73373
-112.2573,333,757.797766
-97.8396,226,759.223619
-96.0504,267,760.901618
-120.4,252,762.484603
-109.5358,295,764.351192
-110.3094,257,765.971645
-121.876078,349,773.587026
-97.502,251,775.116009
-94.3,287,776.877619
-101.7,216,778.216536
-104.16,323,780.250441
-96.6134,299,782.139725
-89.2459,269,783.846026
-101.6801,254,785.452474
-101.74,233,792.240277
-116.326667,307,794.205244
-89.06,296,796.066494
-102.24,331,798.112732
-94.38,230,799.516551
-93.5331,324,801.484922
-97.6115,232,802.946877
-107.74,182,809.148675
-110.54,333,811.208708
-101.069412,342,813.326286
-98.66,202,814.590156
-104.5188,264,816.24582
-120.3221,405,818.775098
-100.74,280,820.505571
-111.9147,200,827.189505
-94.5606,270,828.868074
-121.78,303,830.757268
-100.7946,331,832.848968
-108.32,242,834.404843
-94.08,228,835.823859
-129.66,371,838.124995
-94.6,278,839.86923
-100.1665,252,846.775938
-103.08,254,848.376066
