#{"t_start": 1675257067.5127401, "env_id": null}
r,l,t
-1901.0405,452,1.503029
-2040.101405,500,2.784422
-655.599,110,3.102153
-2112.2773,500,4.456984
-674.3063,152,4.869778
-1425.0141,371,7.892453
-1791.3236,500,9.281282
-961.1879,240,9.859809
-646.830689,151,10.265719
-414.607882,92,10.556937
-1115.9312,337,11.47209
-978.7912,262,12.231633
-1540.708168,500,15.640767
-622.492147,163,16.076306
-1575.3514,500,17.481685
-1618.707079,500,18.962183
-1432.95,500,20.20212
-1435.8049,500,23.176039
-1296.0718,500,24.395592
-1366.891023,500,25.628537
-1306.028753,500,26.8299
-1175.439756,500,29.81205
-1086.346079,476,30.994035
-1198.38613,500,32.376508
-449.750042,161,32.826001
-1268.151667,500,34.223222
-1055.370084,500,37.652775
-1005.478037,500,39.019807
-1049.072974,500,40.375246
-1033.496395,500,41.730689
-1064.187709,500,45.036483
-845.35766,500,46.24722
-794.455224,500,47.602766
-932.256747,500,49.01221
-861.925744,500,52.361974
-718.811932,500,53.729616
-743.375097,500,55.098488
-465.044243,259,55.79956
-721.543442,498,57.0174
-669.393353,500,60.464319
-654.7336,500,61.795545
-649.695994,500,63.168405
-229.939044,136,63.533912
-604.683335,500,64.883792
-502.586703,421,68.089591
-450.601889,303,68.875846
-663.46557,500,70.051955
-628.425924,500,71.214781
-421.452657,291,71.959581
-496.326867,410,74.651815
-303.995022,237,75.206277
-516.819073,427,76.197507
-267.687911,194,76.642675
-488.089734,389,77.574542
-563.75612,500,80.462626
-548.908608,500,81.645566
-343.370111,260,82.246951
-294.125309,215,82.745778
-588.022111,477,83.844827
-512.716368,500,85.046057
-496.297878,500,87.873868
-566.566953,500,89.05721
-505.977594,500,90.219628
-537.073533,451,91.265671
-185.524711,122,91.554424
-253.840524,175,93.606704
-251.245208,160,93.990436
-555.447063,500,95.160475
-189.537811,137,95.477261
-319.29152,273,96.113441
-381.581884,280,96.763267
-533.899167,500,97.935245
-486.405833,500,100.917463
-478.672278,467,102.005471
-496.1844,500,103.168874
-124.741222,75,103.343173
-508.228112,500,104.512955
-483.717167,500,107.414288
-417.959221,429,108.516371
-269.405144,238,109.1372
-468.889585,500,110.448291
-428.701787,384,111.603196
-260.699856,249,113.829314
-437.264332,500,115.005909
-442.057422,500,116.1624
-112.377422,39,116.25703
-454.432354,500,117.790799
-132.371211,75,117.991462
-135.877722,93,118.232651
-266.960067,259,121.052926
-201.336622,168,121.551553
-237.830722,222,122.192584
-454.957716,500,123.498368
-490.467442,500,124.856462
-451.914702,474,126.096341
-289.634444,286,128.781276
-416.650011,500,130.033163
-124.275433,104,130.31885
-234.445767,269,131.026711
-193.150242,150,131.426841
-236.702022,267,132.127028
-418.307518,500,133.428121
-392.506588,463,136.70908
-354.580006,359,137.751101
-249.501378,240,138.378211
-378.812178,500,139.618531
-135.738056,88,139.818859
-176.911356,182,140.239359
-352.170233,451,142.993203
-254.739711,302,143.712729
-327.568889,500,144.898011
-297.090922,413,145.874701
-174.4595,212,146.374271
-341.490589,418,147.357217
-338.008744,500,150.190028
-328.171778,500,151.365478
-227.406989,268,151.999116
-329.272289,500,153.184778
-331.975809,500,156.050627
-121.848622,120,156.335892
-272.397222,500,157.519404
-181.360367,305,158.244183
-115.754544,95,158.462904
-105.194567,56,158.596961
-132.409989,113,158.946409
-243.637144,445,160.055002
-103.7826,86,160.250575
-141.936967,164,162.498721
-179.106761,254,163.102147
-432.271647,500,164.33141
-139.242189,163,164.714248
-270.360544,500,166.090862
-129.089178,193,166.663232
-188.381114,241,167.225742
-113.7569,77,167.49191
-132.522744,102,167.782112
-124.182722,106,170.056025
-241.669678,500,171.378448
-97.861833,78,171.614629
-201.6884,329,172.380633
-267.722756,500,173.548764
-123.605444,124,173.840136
-166.920933,348,174.649506
-140.857422,224,176.77397
-110.5794,148,177.114587
-203.864844,427,178.258141
-148.955822,280,178.893511
