#{"t_start": 1675280006.8705592, "env_id": null}
r,l,t
-5478.238086,500,6.819222
-5260.385743,500,12.308908
-5484.550912,500,18.510809
-5333.924496,500,24.63626
-5372.805808,500,34.725728
-5359.279357,500,40.652949
-5097.212729,500,46.352598
-5360.310847,500,52.316317
-5067.141163,500,62.326133
-4986.331165,484,67.719274
-5092.974367,500,73.897829
-5023.229555,500,79.295701
-4714.607835,500,89.117034
-4688.437231,500,94.350493
-4627.421478,500,99.691045
-4540.871651,500,105.492549
-4418.5127,500,114.965266
-4354.150478,500,120.343158
-4294.339024,500,125.73084
-4336.454625,500,131.881078
-4209.114798,500,141.57724
-3739.064382,500,147.302224
-3657.21222,500,153.281456
-3536.412337,500,159.455256
-3452.585708,500,169.243635
-2936.290912,500,174.706259
-2953.491671,500,180.42941
-3010.866053,500,186.130791
-2834.755163,500,196.183902
-2482.081071,500,202.398073
-2466.219647,500,208.078988
-2363.297914,500,213.738142
-2371.014124,500,223.655691
-1973.564512,500,229.24408
-1900.768402,500,234.98441
-1978.833337,500,240.984073
-1919.336647,500,250.846678
-1392.52069,500,256.197761
-1614.516061,500,262.130495
-1606.297386,500,268.269224
-1626.069857,500,277.995358
-1132.769522,500,283.809334
-1308.316898,500,289.583314
-1255.369651,500,295.491808
-1274.395961,500,301.60605
-882.043916,500,311.77087
-1072.772325,500,318.017951
-936.862749,500,323.76341
-960.757625,500,329.578177
-976.310175,500,339.58893
-929.879045,500,345.512584
-920.860398,500,351.232915
-900.316563,500,357.245411
-767.883357,500,366.923499
-699.586657,500,372.482804
-705.535169,500,378.229408
-848.376988,500,384.83946
-700.638771,500,394.646049
-660.479216,500,400.230949
-661.703151,500,406.113909
-629.013773,500,412.002626
-718.928122,500,422.005808
-684.320267,500,427.803541
-479.353233,500,433.513594
-565.309988,500,439.195462
-626.807198,500,449.109571
-549.481089,500,455.16331
-597.550465,500,460.829975
-553.716598,500,466.970273
-520.950851,500,477.232038
-464.374139,500,483.555628
-555.79842,500,489.429942
-528.608927,500,495.259909
-469.663978,500,505.372651
-524.572161,500,510.717853
-602.357257,500,515.965128
-463.113871,500,521.254831
-497.20318,500,530.589342
-508.833047,500,536.345773
-468.643302,500,542.207574
-541.890365,500,547.853846
-440.030216,500,557.767322
-512.010786,500,563.408701
-530.823643,500,569.399868
-485.784571,500,575.210826
-460.734104,500,581.005965
-372.518541,500,591.11267
-426.047354,500,596.840688
-470.271172,500,602.507766
-461.509387,500,608.135331
-473.711578,500,617.919616
-481.925996,494,623.577832
-518.026636,500,629.497298
-442.425808,500,635.287255
-455.126555,476,644.839943
-511.68077,500,650.739036
-456.338259,500,656.357933
-461.412753,500,662.281145
-434.945414,500,671.927335
-454.083159,468,677.31968
-431.031586,500,683.167486
-438.820431,500,688.720825
-472.537365,500,698.416364
-388.090652,500,704.270006
-393.572861,500,710.045509
-404.320382,500,715.569826
-374.358803,500,725.236012
-374.074637,500,731.043769
-390.21701,449,736.717417
-424.19591,500,742.709368
-389.826177,465,752.435562
-414.244261,500,757.600999
-428.759433,500,763.087414
-381.178493,500,769.19801
-430.734521,500,774.688127
-361.5359,500,784.152097
-386.77635,500,789.483802
-366.995275,453,794.357177
-327.771297,500,799.587457
-351.968405,465,808.922471
-319.793786,473,813.906273
-342.925385,500,819.186818
-393.790686,500,824.490538
-328.493059,500,834.224705
-280.515382,500,839.490244
-290.985343,500,844.829932
-303.275571,460,849.67111
-300.569799,500,859.413013
-301.125359,500,864.64767
-314.617385,500,869.948493
-327.62927,500,875.268653
-261.648507,500,884.975817
-259.500623,500,890.318398
-297.858587,500,895.657632
-259.558641,421,900.047153
-303.525827,486,909.588904
-304.835908,498,914.961317
-256.959518,500,920.323468
-246.61587,449,925.193273
-232.629399,434,929.856331
-252.2892,500,939.600286
-262.750874,494,944.860435
-197.579615,500,950.262563
-220.7583,500,955.63172
-190.025178,500,965.29683
-180.9506,500,970.671188
-142.9208,418,975.326741
-201.59067,500,980.968092
-171.558,500,990.688556
-156.83,473,995.857396
-151.41,500,1001.252604
-161.3962,500,1006.502939
-134.6243,500,1016.136766
-133.5899,500,1021.453844
-132.1958,405,1025.885037
-117.1187,500,1031.29481
-79.116067,500,1036.811486
-141.43,447,1044.864193
-89.91,500,1051.207897
-114.94,406,1056.031192
-133.4026,500,1061.888084
-151.982828,500,1071.430636
-79.096931,500,1077.230175
-104.5795,372,1081.452063
-104.355653,500,1087.39553
-112.682277,469,1096.900158
-124.471103,474,1102.426491
-108.4752,495,1108.072223
-80.4306,500,1113.311618
-64.718477,500,1118.81398
-116.949412,479,1128.286115
-128.828878,461,1133.555893
-101.7481,500,1139.157551
-105.75,500,1145.055744
-96.64,500,1155.146195
-99.2953,467,1160.378406
-99.72,471,1165.583244
-100.323366,500,1171.470005
-103.339675,443,1180.685981
-124.023043,500,1186.167983
-109.959716,484,1191.723289
-127.3296,483,1197.338501
-110.7841,419,1206.572202
-99.545743,435,1211.893242
-100.074158,496,1217.662994
-90.19,500,1223.560833
-102.44,467,1228.984508
-106.64,473,1238.524903
-114.336832,500,1244.100208
-86.6,500,1249.450644
-106.782,500,1255.266526
-107.77,500,1265.681732
-95.96,411,1270.549101
-116.9759,464,1276.270721
-92.752545,500,1281.818518
-103.91,479,1291.846344
-108.5,436,1297.076533
-69.2731,500,1302.805791
-98.73,477,1308.163214
-112.178326,500,1313.909545
-94.44,500,1323.876321
-102.22,500,1329.886769
-92.408566,500,1335.54244
-107.7162,500,1341.674539
-95.3642,500,1352.257943
-94.8,490,1358.027971
-119.8895,496,1363.616611
-87.74,500,1369.493079
-94.594257,500,1379.605255
-114.1705,429,1384.440673
-118.61,464,1389.872693
-99.07,486,1395.661866
-119.506968,383,1404.250482
-96.75,430,1409.972271
-86.43,500,1415.881772
-55.802785,500,1421.571243
-135.423644,467,1426.958303
-108.7944,500,1437.017206
-122.586436,457,1442.202882
-97.27,453,1447.499167
-92.39,483,1453.001671
-75.38,500,1462.671115
-105.57,418,1467.305038
-100.18,473,1472.916026
-91.5551,500,1478.424164
-109.68,487,1487.758764
-58.01,500,1493.642834
-78.45,445,1498.919447
-98.303743,453,1503.886483
-97.05,495,1509.644371
-62.41,500,1519.670276
-111.27,417,1524.860056
-116.17,493,1531.066272
-103.31,458,1536.244812
-63.21,500,1545.662378
-87.74,435,1550.318221
-109.97,460,1555.496032
-86.42,451,1560.373862
-101.0542,500,1570.296726
-116.8251,493,1575.733815
-53.31,500,1582.156515
-104.9514,500,1588.138333
-106.55,416,1593.180468
-92.81,499,1602.875635
-88.56,432,1607.618106
-81.82,500,1613.091101
-104.234158,500,1618.377527
-111.12,500,1628.069826
-90.448713,500,1633.394548
-117.6212,480,1638.636086
-104.3,398,1642.875418
-101.873,475,1652.090147
-115.4244,500,1657.734915
-100.68,469,1663.382498
-123.72,414,1668.420248
-98.2,500,1674.379405
-102.23,444,1683.890594
-90.69,493,1689.614899
-87.16,500,1695.653422
-125.58,489,1701.418514
-95.2494,483,1711.230816
-85.61,500,1716.823502
-98.57,489,1722.621658
-123.34,458,1727.724165
-71.61,500,1737.716985
-114.95,428,1742.531784
-105.11,458,1747.4289
-111.12,382,1752.34772
-88.49,466,1758.066168
-102.04,456,1767.945126
-106.35,468,1773.515879
-87.89,469,1779.168207
-117.263366,449,1784.278091
-89.88,500,1794.668207
-69.62,500,1800.365051
-86.7,339,1804.444774
-93.31,450,1809.725979
-114.472376,500,1816.056535
-96.41,352,1824.155544
-94.848416,500,1829.617287
-92.45,500,1834.937387
-113.262871,500,1840.614148
-98.46,420,1849.433886
-102.0372,493,1855.317278
-83.6895,500,1860.744735
-87.6007,500,1866.449137
-106.22,500,1874.135626
-58.82,500,1880.37637
-114.1442,500,1886.253948
-102.877228,500,1891.773651
-103.752871,467,1901.002969
-103.1232,500,1906.281676
-87.428,500,1911.537533
-125.66,469,1916.460461
-77.61,473,1921.400235
-79.49,431,1930.349382
-105.157476,500,1935.743382
-92.89,471,1940.718833
-103.58,500,1945.99707
-93.008,443,1955.087244
-124.070198,500,1960.555208
-108.386832,420,1965.289149
-108.13,438,1969.938674
-83.57,380,1973.993059
-101.773861,481,1983.675068
-91.99,479,1988.72159
-71.54,500,1994.052256
-100.22,491,1999.279551
-58.65,500,2009.022208
-107.31,431,2013.661335
-105.04,467,2018.63356
-93.99,410,2023.042029
-117.496535,438,2027.716201
-118.1,499,2037.364924
-59.5,500,2042.599973
-87.22,445,2047.312557
-106.99,431,2051.934741
-94.14,458,2061.005214
-101.83,483,2066.177885
-81.2369,437,2070.765526
-130.62,500,2076.170045
-98.62,468,2085.509407
-97.1,460,2090.421583
-62.03,500,2095.708478
-80.0,500,2100.968158
-104.64,413,2105.419057
-104.2915,472,2114.644996
-91.53,500,2120.010256
-90.46,462,2124.935853
-103.86,500,2130.227256
-73.84,500,2139.376781
-94.456337,461,2144.395065
