#{"t_start": 1675253625.488093, "env_id": null}
r,l,t
-1235.267789,238,13.875359
-482.2542,93,14.098987
-788.6598,144,14.445955
-2402.5911,500,15.657685
-406.6118,62,15.809397
-994.0606,195,16.279555
-733.685723,170,16.705433
-1879.4187,449,17.786728
-2002.231339,500,20.706047
-2077.253,500,21.915003
-1570.1604,363,22.787718
-1426.9236,344,23.625971
-1949.402921,500,25.001854
-1768.812789,500,28.486586
-1789.8192,500,29.900111
-1846.009884,500,31.338989
-1909.3196,500,32.678882
-1644.501,500,35.800214
-822.432,273,36.482926
-1359.606626,399,37.480577
-783.431653,234,38.054615
-1559.071681,500,39.477234
-928.967629,335,42.142837
-1438.3802,500,43.527415
-1333.879916,500,44.949247
-1646.791837,500,46.310542
-276.960405,60,46.473324
-593.159923,184,46.975518
-1440.794932,500,50.359406
-1071.0501,347,51.311756
-1509.739989,500,52.556282
-1193.379116,464,53.871689
-1061.661904,382,54.911547
-498.460642,134,57.341068
-1185.18158,500,58.811491
-524.097411,157,59.251361
-1285.754692,500,60.693686
-1310.302725,467,61.8483
-1315.8483,500,65.309659
-1012.156644,413,66.442635
-631.316189,247,67.115269
-1143.477777,500,68.457942
-150.531111,30,68.532664
-1213.704636,500,70.053024
-1075.916326,500,73.545099
-1062.313846,500,74.846513
-277.0084,96,75.068536
-571.126147,215,75.577057
-1263.9302,500,76.799032
-1064.246089,500,79.56456
-998.334337,500,80.796252
-1119.448553,500,81.994783
-1127.381695,500,83.205405
-377.037444,127,83.509922
-1094.029465,474,86.205524
-899.064456,500,87.397418
-972.847878,499,88.624471
-799.721387,407,89.628206
-938.048949,500,90.835239
-859.082707,500,93.612853
-946.691283,500,94.816844
-746.565389,385,95.734659
-277.135344,123,96.021824
-958.778487,500,97.214956
-510.816246,241,99.368244
-801.96115,500,100.560086
-291.478415,133,100.87607
-892.129509,500,102.087272
-834.723709,500,103.292204
-631.319923,330,105.664803
-796.030816,500,106.856768
-834.646335,500,108.034132
-192.552867,72,108.204401
-543.146357,323,108.986285
-824.59543,500,110.187783
-618.81678,376,112.733321
-620.688856,398,113.814106
-494.048986,257,114.523487
-731.951426,500,115.744004
-388.709378,212,116.238294
-703.00101,478,119.533993
-662.741326,429,120.618326
-409.031947,209,121.112495
-365.028995,198,121.579283
-338.700471,177,122.00053
-655.574697,500,123.186181
-240.03357,114,123.45904
-202.103233,95,123.678891
-422.349844,268,125.969666
-712.396153,500,127.163012
-569.233279,360,128.037074
-743.631025,500,129.247666
-511.796318,334,130.039566
-318.892144,179,130.453142
-744.098379,500,133.300144
-676.632458,458,134.406567
-768.77009,500,135.599735
-225.483412,103,135.850777
-753.322605,500,137.040647
-415.684026,260,139.375711
-636.985756,470,140.489931
-750.540595,500,141.692814
-646.608263,446,142.768445
-204.875122,93,142.989192
-675.965265,482,145.790755
-437.98277,266,146.422801
-699.170994,500,147.612781
-623.806724,420,148.635507
-684.697374,500,149.844123
-269.0182,123,150.129323
-445.628571,307,153.013572
-481.811198,304,153.845405
-350.927568,195,154.320236
-224.930178,96,154.597823
-710.864857,500,155.988043
-418.594426,268,156.624038
-351.05374,229,157.292093
-347.568144,195,157.817117
-650.039165,492,161.142503
-656.391279,471,162.302343
-355.47958,217,162.82431
-636.046473,500,164.226877
-264.851941,151,164.623098
-317.744556,202,165.159444
-433.754884,291,168.00867
-262.738682,136,168.374939
-448.113133,298,169.22454
-464.433009,319,170.096225
-669.794396,500,171.477633
-291.4033,169,171.934415
-449.218,314,172.817184
-590.125363,453,175.747557
-302.190219,173,176.163967
-196.060267,91,176.448404
-393.530316,218,177.041525
-389.935111,256,177.727435
-316.954259,217,178.294848
-190.5876,96,178.565893
-162.776356,77,178.793252
-221.126656,116,179.102877
-160.435622,67,179.277972
-502.221761,366,180.267333
-460.06224,351,183.132154
-366.426144,238,183.697918
-136.5985,58,183.83327
-303.709533,192,184.290557
-230.777967,127,184.593252
-529.146433,376,185.755828
-236.723056,141,186.125211
-351.921964,252,186.798027
-132.344922,60,186.958495
-486.962222,399,189.969026
-279.406422,175,190.374469
-231.485756,127,190.665527
-199.230732,93,190.888142
-448.10394,340,191.691242
-322.256811,219,192.199049
-122.762878,39,192.288543
-191.2476,108,192.536153
-129.263189,54,192.659782
-241.865911,164,193.041403
-272.7652,180,193.474684
-301.967116,213,193.963214
-295.727811,186,194.401535
-254.342533,167,196.338801
-388.016738,273,196.97525
-546.9157,440,197.980156
-343.728744,231,198.512722
-157.066211,60,198.651607
-314.374358,210,199.158927
-325.824011,220,199.662139
-381.751222,309,200.376
-250.953344,139,200.696935
-265.413333,163,202.619273
-228.787544,136,202.931793
-217.866911,122,203.20944
-273.264705,188,203.644546
-242.584278,133,203.947081
-218.884082,115,204.213631
-200.460233,135,204.521847
-229.279144,153,204.872296
-231.351544,122,205.150339
-343.459567,231,205.679399
-274.906057,171,206.077581
-420.844133,298,206.757699
-192.913489,102,206.989828
-126.328889,44,208.679077
-141.688889,50,208.792748
-244.433889,139,209.110993
-180.971233,84,209.301976
-442.12428,304,209.996814
-430.191011,292,210.662031
-156.094733,66,210.81488
-144.479278,82,211.003437
-204.833144,125,211.290971
-324.619295,202,211.768925
-247.804678,185,212.198126
-146.055471,68,212.35458
-507.378751,369,213.201537
-168.463756,82,214.954893
-266.725033,168,215.397188
-144.584689,66,215.598964
-238.045378,165,216.046207
-163.950889,96,216.346582
-185.372456,112,216.604995
-162.569978,95,216.82194
-289.191226,204,217.301076
-203.693156,106,217.542761
-211.928756,102,217.775736
-281.284113,183,218.193771
-139.126667,63,218.336957
-159.127367,84,218.536084
-182.966722,108,218.784731
-174.245822,97,219.014489
-181.206211,98,219.245197
-229.933767,134,219.551073
-279.940806,180,221.547852
-190.510944,110,221.803788
-141.409456,60,221.942731
-211.521022,145,222.273018
-160.648022,96,222.499145
-150.710222,69,222.657225
-182.047884,106,222.901
-170.963978,101,223.134276
-200.697485,91,223.34677
-217.357811,138,223.659516
-188.060378,123,223.943306
-199.092511,128,224.233728
-217.365654,129,224.63252
-263.998378,176,225.085934
-184.341322,118,225.39024
-218.879089,132,225.728495
-200.851811,105,226.006156
-157.058511,63,226.178023
