#{"t_start": 1675791526.1858907, "env_id": null}
r,l,t
-5280.40918,500,66.754985
-5315.977125,500,129.800179
-5420.061586,500,191.62321
-5380.791502,500,254.427176
-5405.39892,500,1005.038157
-5494.71969,500,1069.063019
-5467.914235,500,1132.387894
-4968.927184,463,1189.609263
-5321.919476,500,1939.825118
-5380.304178,500,2002.98738
-5365.731059,500,2065.337127
-5507.405088,500,2127.091871
-5528.801304,500,2881.473259
-5583.032214,500,2945.363199
-5164.370449,500,3006.226645
-5285.180814,500,3068.149009
-5284.5419,500,3796.422235
-5353.258122,500,3850.614841
-4943.076875,463,3901.587375
-5335.490549,500,3958.475315
-5251.895871,500,4655.668318
-5126.235539,500,4711.64459
-5303.278363,500,4766.175627
-5178.886445,500,4821.081995
-5219.972718,500,5517.651562
-5148.006616,500,5571.862366
-5126.78202,500,5626.289586
-5271.375212,500,5682.685143
-5157.815002,477,6378.860552
-5270.232014,500,6433.62596
-5085.495688,500,6488.50503
-4654.174261,432,6536.535804
-5203.231024,500,6590.941097
-5108.562906,500,7288.933459
-5015.627247,500,7345.167053
-5207.546784,500,7398.002726
-5158.20171,500,7452.291872
-5142.562553,500,8151.672264
-5147.903135,500,8208.727288
-5207.666031,500,8262.293721
-5093.141533,500,8318.09521
-5054.338959,500,9018.47384
-5037.449588,500,9074.03249
-5077.763435,500,9127.525026
-5166.522525,500,9180.348213
-5230.511796,500,9880.924765
-5134.308992,500,9934.9509
-5138.461204,500,9990.078084
-5108.692665,500,10045.019097
-5182.581255,500,10744.285594
-5106.551929,500,10797.588211
-5156.628035,500,10852.340283
-5205.816261,500,10910.032602
-5042.654645,500,11608.720708
-4985.120059,500,11663.365942
-5081.997161,500,11718.971856
-5056.804402,500,11777.119545
-4984.697347,500,12474.484355
-4898.498155,500,12528.55
-4789.098102,500,12581.753078
-4960.871643,500,12636.949565
-4949.961802,500,13335.44112
-4796.19232,500,13390.306727
-4809.708369,500,13443.590829
-4882.885378,500,13497.954094
-4994.023143,500,14195.809315
-4804.690588,500,14250.517321
-4665.616835,500,14304.43877
-4880.815482,500,14358.451732
-4891.869688,484,15053.470403
-4761.138643,500,15108.681948
-4761.30969,500,15162.098843
-4687.681316,500,15218.319048
-4762.69599,500,15272.595742
-4682.149363,500,15970.461637
-4747.122284,500,16025.891749
-4914.493147,500,16080.977039
-4687.115216,500,16137.172755
-4713.216953,500,16833.595137
-4660.259518,500,16888.355203
-4704.618798,500,16943.497639
-4921.690878,500,16997.051733
-4643.667188,500,17693.867559
-4660.829176,500,17748.336479
-4630.491955,500,17801.582914
-4482.290031,500,17855.45964
-4499.147773,500,18553.345082
-4546.533553,500,18609.609797
-4340.687363,500,18663.832401
-4687.309998,500,18718.626019
-4184.293441,500,19415.879211
-4601.359382,500,19471.157858
-4370.137331,500,19526.610817
-4352.606235,500,19584.04395
-4358.754037,500,20277.924013
-4295.893371,500,20330.834588
-4307.880157,500,20384.675149
-4328.874524,500,20439.120105
-4147.111559,500,21137.076472
-4346.832931,500,21193.809824
-4214.611047,500,21251.008332
-4316.348276,500,21306.581
-4076.239786,500,22005.490761
-3989.826653,500,22058.714718
-4455.375596,500,22113.675872
-4262.096159,500,22167.975681
-4134.592904,500,22865.647286
-4099.950006,500,22919.286687
-4130.731047,500,22974.618719
-3924.754618,500,23029.708942
-3928.564318,500,23728.209888
-3593.906557,500,23783.032667
-3946.243831,500,23838.761556
-3901.587502,500,23894.23856
-3819.336108,500,23947.563832
-3578.40061,500,24644.063255
-3790.289861,500,24700.141786
-3689.821845,500,24753.758711
-3813.725535,500,24808.809594
-3445.363347,500,25506.522106
-3440.701218,500,25559.793746
-3555.111767,500,25615.690964
-3380.073263,500,25672.909114
-3311.967822,500,26373.284993
-3524.740369,500,26427.74877
-3310.107565,500,26482.912254
-3216.616469,500,26537.005873
-3222.052414,500,27234.821034
-3244.040024,500,27287.059178
-3511.144529,500,27343.6324
-3221.67899,500,27399.625287
-3266.677924,500,28095.668414
-3138.984025,500,28149.442998
-3277.607253,500,28201.295741
-3169.431576,500,28255.711475
