#{"t_start": 1675955918.8606052, "env_id": null}
r,l,t
-2436.988838,246,23.089046
-3041.453508,290,24.78213
-3505.367762,338,26.852976
-3236.230646,337,28.791596
-4261.710485,416,31.144365
-3821.762515,387,33.320072
-3982.746538,388,37.305238
-4434.637454,435,39.892096
-4919.416854,500,42.806333
-4860.541569,500,45.652143
-5010.8478,500,50.124916
-4630.443854,500,53.031363
-4212.901138,429,55.462443
-3853.367731,382,57.788472
-4864.212915,500,64.780719
-3777.8588,404,67.131511
-3448.592685,369,69.256705
-3191.678285,322,71.111656
-3097.745362,327,73.046382
-3119.133692,332,75.034845
-4533.101523,500,81.747284
-4626.509338,500,84.678192
-4622.086115,497,87.521396
-4041.104192,423,90.062035
-4833.836377,500,96.490137
-4263.923408,445,99.095721
-3980.757446,444,101.634272
-4148.245885,458,104.245073
-3482.626669,367,106.449707
-4542.231031,500,113.266047
-4702.240877,500,116.13398
-3186.394492,338,118.133461
-4451.235038,500,121.085614
-4513.127738,500,128.034279
-4441.735454,500,131.012787
-4576.295477,500,134.050036
-3318.162623,369,136.322679
-3895.438046,431,138.851187
-4403.032977,500,145.319202
-4160.766169,487,148.208756
-3668.770677,405,150.482894
-4296.045962,500,153.426105
-4469.500146,500,160.215914
-4134.787277,500,163.090495
-4181.951877,500,166.039904
-4285.097331,500,169.005719
-4176.793369,500,175.763087
-4121.634169,500,178.769535
-4024.181985,500,181.53522
-3865.970546,500,184.557542
-4267.984792,500,191.377036
-3778.632262,500,194.355011
-3710.1875,500,197.28597
-3748.511031,500,200.251869
-4036.695277,500,203.109653
-3879.5244,500,209.903091
-3875.273146,500,212.799744
-3718.9022,500,215.568678
-3787.929446,500,218.600409
-3446.517377,500,225.395998
-3503.6118,500,228.370098
-3410.7309,500,231.305093
-3428.751923,500,234.246891
-3163.720285,500,241.130296
-3085.067354,500,244.125078
-3270.166354,500,247.187932
-3507.909285,500,250.087431
-3139.881785,500,256.956571
-3112.077154,500,259.90105
-3189.168538,500,262.901186
-3088.938931,500,265.827778
-3012.685946,500,272.632969
-2770.990277,500,275.518744
-2934.495423,500,278.609115
-3035.397346,500,281.485803
-2735.742923,500,288.101778
-2675.227662,500,291.075833
-2793.951492,500,294.117289
-2751.307608,500,297.172903
-2749.655162,500,304.167945
-2646.968254,500,307.275862
-2634.671385,500,310.257994
-2482.088738,500,313.286727
-2343.450631,500,321.595463
-2566.542885,500,324.479021
-2445.949838,500,327.573435
-2301.226638,500,330.552316
-2191.371892,500,335.028381
-2170.964562,500,338.070783
-2043.049308,500,340.910902
-2050.967131,500,343.883759
-2057.655923,500,348.500463
-1817.255108,500,351.515465
-2115.863231,500,354.542835
-2043.805285,500,357.538234
-2043.845892,500,362.541205
-1771.445608,500,365.609254
-1795.843246,500,368.574452
-1967.585569,500,371.591263
-1778.369192,500,374.518009
-1686.119,500,379.054529
-1716.814046,500,382.163769
-1649.851415,500,385.157734
-1774.104138,500,388.163666
-1621.790508,500,392.723609
-1636.638315,500,395.740748
-1608.921108,500,398.811548
