#{"t_start": 1675178927.8014684, "env_id": null}
r,l,t
-2129.4001,500,18.595628
-2104.377895,500,20.227074
-865.908679,180,20.819083
-409.629789,83,21.088375
-1739.170116,394,22.376214
-701.274326,117,22.75929
-1782.6319,404,26.440761
-1291.8962,340,27.559194
-1694.251842,373,28.784467
-1519.0149,397,30.09827
-1409.776391,337,31.20404
-2112.2705,500,35.396974
-504.4004,118,35.784105
-1274.949,322,36.85236
-787.1158,199,37.508788
-1885.294747,500,39.332091
-1049.3127,256,40.291901
-770.3674,162,40.895799
-1782.362058,500,45.874137
-554.8631,125,46.399174
-1664.6104,500,48.249696
-1728.5962,500,50.112163
-1556.158532,500,51.951466
-744.713112,212,52.735122
-993.7196,274,56.8202
-1553.437621,500,58.680699
-1118.0019,368,59.910515
-1143.269753,363,61.280844
-1622.3412,500,63.135266
-1407.5703,500,68.086438
-1229.316232,414,69.438857
-1459.3993,500,71.185569
-814.492989,251,72.091877
-1364.2105,500,73.729918
-1363.044758,500,78.688113
-1261.679466,500,80.486789
-1491.0923,500,82.245521
-1278.927242,500,83.969741
-1274.634156,500,87.946406
-1166.794705,500,89.806047
-1221.760672,500,91.678104
-1162.828833,500,93.491528
-1098.154532,500,97.598759
-1317.036937,500,99.435927
-1164.742942,500,101.464284
-1111.142513,500,103.289979
-1110.973122,500,107.434325
-1160.100117,500,109.140988
-1297.268981,489,110.727669
-1084.232754,500,112.361783
-994.193425,500,116.305679
-887.807012,399,117.598364
-999.900881,500,119.21128
-524.53339,267,120.060686
-985.107493,500,122.051823
-923.682503,500,126.161916
-327.271347,138,126.605011
-507.628972,217,127.300888
-955.898158,500,128.919772
-965.496768,500,130.542227
-898.586179,500,134.539729
-930.030223,500,136.162179
-966.3843,500,137.773206
-345.726956,150,138.24214
-826.2906,500,139.925849
-435.219132,218,140.617671
-926.358422,500,144.567353
-896.820643,500,146.167342
-818.458454,500,147.775596
-848.457119,500,149.357331
-821.511054,500,153.350372
-657.907739,388,154.583052
-402.968074,183,155.168881
-740.970305,426,156.520572
-870.1869,500,158.124689
-794.800884,500,162.162394
-810.717226,500,163.80702
-372.5486,153,164.306309
-817.59446,500,165.887018
-929.0996,500,167.504712
-932.413419,500,171.531914
-498.300101,303,172.492815
-197.747522,77,172.73463
-430.885978,222,173.444335
-738.61756,500,175.066881
-138.471916,34,175.17477
-798.758932,482,179.093851
-252.744478,122,179.476262
-742.811119,500,181.083792
-163.429633,66,181.289564
-775.76536,500,182.864288
-497.271876,296,183.802003
-479.039377,280,184.705691
-301.745435,167,185.235569
-420.156688,199,188.260322
-253.837056,128,188.660609
-601.080243,348,189.772134
-854.581467,500,191.376531
-377.923437,168,191.920351
-691.421486,500,193.498911
-204.204089,84,193.761271
-211.732467,77,194.002249
-722.53083,451,197.825676
-781.2186,500,199.452942
-346.428937,175,200.021263
-251.703668,129,200.434109
-284.76044,144,200.890833
-810.151263,500,202.486934
-411.696965,216,203.163582
-629.250453,406,206.861991
-289.496963,145,207.32667
-696.96993,482,208.843333
-635.210658,500,210.4497
-292.427667,134,210.867896
-507.453281,328,211.912899
-190.638633,85,212.177813
-242.277133,106,214.88915
-335.534574,209,215.564099
-250.371826,109,215.914599
-312.519033,177,216.468909
-761.082716,500,218.086914
-338.217212,181,218.667218
-708.123499,500,220.227881
-562.535625,364,223.801183
-337.043044,200,224.423788
-672.722362,500,226.043161
-235.072244,136,226.467345
-314.533689,189,227.052535
-234.123671,104,227.38827
-260.688097,163,227.940629
-216.027244,131,228.353619
-503.311038,361,229.523065
-187.204044,90,229.806795
-350.023295,222,232.93902
-346.820467,234,233.685151
-480.560917,371,234.8497
-178.325422,72,235.076002
-198.418867,92,235.366107
-282.540396,196,235.994705
-155.375422,67,236.205796
-205.4066,86,236.475841
-296.483971,196,237.099338
-230.765989,104,237.42645
-249.893956,133,237.844938
-206.971311,89,238.124904
-511.596653,364,241.682764
-469.407393,335,242.740224
-429.248833,315,243.727762
-183.235046,94,244.024524
-193.897111,101,244.342767
-218.707978,91,244.627159
-163.954122,84,244.890859
-153.466122,48,245.041592
-226.669022,144,245.493476
-281.776156,186,246.075943
-229.244122,133,246.49062
-153.859,60,246.677776
-257.747789,167,247.191468
-513.878711,386,250.799736
-345.724766,233,251.526199
-264.886311,185,252.101549
-174.781756,88,252.375064
-208.942711,117,252.739116
-163.708167,86,253.007221
-151.510667,56,253.181721
-376.370544,267,254.034367
-198.3749,109,254.375931
-312.613522,205,255.012886
-222.412878,139,255.444491
-276.446005,194,256.058191
-304.515687,229,259.203845
-237.537156,180,259.763381
-329.730133,233,260.484188
-165.254211,102,260.80079
-162.138267,61,260.990558
-265.99727,148,261.453389
-189.242744,96,261.751441
-228.774704,162,262.263527
-151.489211,90,262.544678
-211.933389,150,263.010032
-210.354028,112,263.364766
-436.962411,317,264.348522
-228.476478,146,264.802376
-194.397981,102,265.123459
-181.208144,87,265.393645
-369.645489,240,268.533369
-402.495767,336,269.58217
-212.231844,146,270.039399
-210.1204,131,270.44997
-171.148,86,270.718762
-320.194978,203,271.348752
-179.998844,82,271.60351
-197.365867,106,271.930212
-203.415533,91,272.21088
-312.339767,208,272.855464
-238.415748,151,273.336309
-163.865322,82,273.593218
-291.1523,209,274.247842
-223.732288,144,277.063534
-179.613722,101,277.379146
-244.408189,177,277.929145
-196.193122,117,278.295277
-172.895122,85,278.561465
-202.761422,128,278.959279
-310.962889,233,279.68325
-167.365922,81,279.935806
-332.584422,244,280.691522
-181.916167,93,280.979045
-142.346567,73,281.206129
-167.0537,101,281.520523
-139.378267,69,281.736026
-130.4467,59,281.921125
-233.478022,134,282.340833
-231.6047,138,282.769776
-190.589367,133,285.572087
-235.020644,170,286.370413
-167.137033,65,286.574097
-229.424978,129,286.972597
-167.200122,103,287.292148
-206.929311,133,287.70405
-166.842011,103,288.023823
-220.742467,124,288.408878
-180.001311,120,288.782053
-245.622658,190,289.38337
-124.404444,43,289.517218
-175.697644,99,289.823558
-141.709522,82,290.078284
-274.139707,190,290.682436
-202.621756,119,291.054529
-146.255711,85,291.320613
-147.346667,68,291.534153
-159.029105,95,291.832436
-181.164478,101,294.532689
-166.294644,96,294.831803
-156.427356,104,295.155576
-167.614278,110,295.496448
-201.345756,117,295.859284
-240.411963,166,296.378089
-330.490062,270,297.220385
-157.740781,96,297.521609
-187.946178,118,297.885109
-177.794344,122,298.263517
-197.518422,118,298.630927
-287.410746,220,299.316378
-262.089044,195,299.919889
-242.472878,170,300.450371
-165.224889,89,300.727848
-133.594033,62,303.30998
-152.194578,95,303.606866
-175.905256,113,303.958825
-279.754922,218,304.633759
-138.508889,75,304.866369
-195.4146,135,305.285012
-171.757278,109,305.624695
-188.257633,118,305.99329
-229.787146,154,306.480576
-196.235167,129,306.882319
-316.676444,224,307.580233
-161.377033,102,307.899803
-179.775289,125,308.290246
-145.187711,108,308.628429
-179.517356,124,309.016159
-167.587367,100,309.328787
-177.836484,105,309.661905
-268.679756,222,312.75729
-224.926973,178,313.318503
-239.208978,249,314.096202
-157.595115,101,314.414655
-204.317911,146,314.871076
-296.702178,239,315.617919
-177.693367,134,316.038197
-149.507589,90,316.320039
-237.852033,165,316.834765
-172.453989,103,317.155769
-222.775322,163,317.668006
-164.068722,114,318.024074
-163.647922,115,318.382639
-172.346894,114,321.09814
-140.130556,80,321.346102
-126.947967,76,321.585335
-207.247978,154,322.067074
-145.566822,99,322.390166
-255.315003,251,323.201348
-183.747633,153,323.680218
-164.671333,123,324.064692
-216.680078,183,324.635116
-193.317333,167,325.157309
-152.588144,95,325.454553
-184.869622,136,325.879871
-274.521067,261,326.733722
-183.188356,150,327.200078
-123.488344,75,329.788485
-113.866667,61,329.978226
-132.831433,95,330.273168
-273.225422,284,331.154838
-135.097778,91,331.43851
-171.337322,103,331.758273
-175.664444,121,332.133424
-145.584444,99,332.439926
-138.631111,91,332.723308
-123.374033,68,332.934557
-129.412389,97,333.235263
-138.661767,82,333.490052
-153.395433,109,333.828965
-134.987367,77,334.068244
-143.546667,88,334.341573
-139.859911,85,334.606519
-154.727422,115,334.965921
-120.08,62,335.160205
-181.636289,139,335.595044
-193.668556,180,338.542902
-143.785178,119,338.913297
-136.793333,88,339.186533
-109.316956,55,339.358035
-118.051111,64,339.556806
-147.201089,110,339.900234
-129.596533,107,340.235993
-147.4977,155,340.721502
-113.8684,61,341.002884
-147.3207,112,341.353364
-122.842922,60,341.542426
-123.666622,81,341.795859
-149.867511,107,342.128006
-117.476956,82,342.382557
-124.773333,71,342.603533
-121.960633,77,342.844307
-176.532578,131,343.253535
-139.733333,94,343.546088
-128.916578,92,343.832209
-143.843022,129,344.233145
-127.124233,81,344.484971
-116.359078,70,344.702085
-233.671967,207,347.713426
-112.7,67,347.92233
-117.653333,71,348.14493
-126.157978,111,348.489474
-164.367978,129,348.890561
-111.644444,76,349.127146
-170.453378,162,349.629149
-141.994278,89,349.906324
-148.372178,133,350.319481
-141.687611,116,350.681442
-167.924844,135,351.102938
-147.193,132,351.514282
-176.944844,176,352.061069
-118.291811,77,352.305541
