model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-296.161],[110]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-282.6],[133]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-333.1],[105]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-228.8],[114]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-264.552632],[108]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-264.552632],[108]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-513.9781],[95]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-351.6731],[141]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-349.034795],[143]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-244.6634],[65]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-312.115511],[132]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-381.1231],[100]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-308.9475],[115]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-248.126316],[107]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-248.126316],[107]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-439.6392],[118]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-337.2952],[96]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-486.692105],[121]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-445.5715],[162]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-336.1452],[162]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-381.7313],[181]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-248.9289],[96]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-338.078947],[167]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-338.078947],[167]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-613.1227],[127]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-232.815789],[92]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-693.764327],[182]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-419.4226],[163]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-292.9289],[109]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-438.066274],[153]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-604.5851],[240]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-246.331579],[93]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-246.331579],[93]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-307.8582],[99]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-510.8942],[193]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-564.415205],[156]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-445.3806],[163]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-377.8],[143]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-477.1729],[143]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-281.1],[95]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-363.578947],[175]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-363.578947],[175]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-510.3281],[147]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-327.45],[108]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-431.867007],[138]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-638.152941],[162]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-638.152941],[162]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-638.152941],[162]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-915.876471],[208]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-854.809804],[184]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-810.203846],[191]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1551.022469],[212]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1469.0651],[213]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1632.992308],[230]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-1380.264706],[257]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-1380.264706],[257]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-1380.264706],[257]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-966.339216],[208]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1018.633333],[215]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-900.565385],[188]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1879.952769],[238]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1838.403892],[234]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1902.987008],[253]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-597.827451],[141]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-597.827451],[141]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-597.827451],[141]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1068.739216],[292]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-597.827451],[141]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1277.569231],[236]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1380.854215],[278]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1414.496277],[287]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1479.396638],[255]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-1121.268627],[250]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-1121.268627],[250]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-1121.268627],[250]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1121.268627],[250]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1175.637255],[258]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1074.815385],[220]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2156.595785],[268]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2033.149223],[273]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1408.156885],[206]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-946.623529],[285]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-946.623529],[285]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-946.623529],[285]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-946.623529],[285]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-856.590196],[261]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1126.792308],[245]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1258.593508],[250]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1658.014508],[219]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-912.573431],[212]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2049.120792],[277]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2049.120792],[277]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2049.120792],[277]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2049.120792],[277]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2236.049505],[250]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2049.120792],[277]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3252.502047],[301]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-2780.232375],[281]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-2773.806063],[318]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2409.065347],[244]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2409.065347],[244]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2409.065347],[244]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2829.79901],[293]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2409.065347],[244]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2511.90297],[275]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3743.901284],[307]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-2968.925722],[300]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-2804.260551],[299]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2866.774257],[374]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2866.774257],[374]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2866.774257],[374]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2778.757426],[375]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2778.757426],[375]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2562.187129],[359]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-2980.647902],[362]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-2694.70739],[275]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-2745.732284],[280]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2786.20396],[284]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2786.20396],[284]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2786.20396],[284]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-3206.158416],[321]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2862.934653],[267]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2642.829703],[260]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-2780.458461],[292]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-3523.257002],[376]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-3338.424225],[307]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2608.557426],[290]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2608.557426],[290]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2608.557426],[290]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2520.476238],[272]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2565.154455],[302]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2267.030693],[261]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3384.246329],[350]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-3783.299063],[361]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-3968.715669],[376]
