model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[209.380878],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-25.941789],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-91.555378],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-105.862389],[93]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-99.9],[44]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-99.9],[44]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-162.844444],[53]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-108.288889],[43]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-162.844444],[53]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[189.507889],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-22.042011],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-133.213967],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-100.043267],[97]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-102.633333],[51]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-102.633333],[51]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-100.952156],[50]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-102.333333],[51]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-119.533333],[51]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[195.9303],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-17.781544],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-92.483733],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-95.628678],[23]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-99.555556],[33]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-99.555556],[33]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-125.288889],[23]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-124.433333],[30]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-125.288889],[23]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[202.013578],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-13.797456],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-92.081222],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-96.023256],[39]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-103.311111],[49]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-103.311111],[49]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-147.577778],[34]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-122.177778],[46]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-147.577778],[34]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[198.780133],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-11.319944],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-116.183111],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-103.793367],[52]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-101.777778],[44]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-101.777778],[44]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-167.211811],[51]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-149.577778],[58]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-162.977778],[44]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-268.24],[179]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-268.24],[179]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-268.24],[179]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-658.6426],[175]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-658.8797],[175]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-658.8797],[175]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-645.6352],[166]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-977.86],[179]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-723.84],[143]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-241.3],[151]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-241.3],[151]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-241.3],[151]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-628.5449],[167]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-568.1071],[144]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-568.1071],[144]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-901.6276],[178]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-785.36],[151]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1055.5242],[165]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-309.36],[222]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-309.36],[222]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-309.36],[222]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-679.202],[180]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-718.6717],[192]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-718.6717],[192]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-823.6962],[176]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1193.66],[222]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1138.197],[201]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-282.16],[187]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-282.16],[187]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-282.16],[187]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-541.1799],[137]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-618.1],[158]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-618.1],[158]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-849.2674],[144]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-834.286],[168]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-933.409],[180]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-285.84],[204]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-285.84],[204]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-285.84],[204]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-874.469],[238]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-748.5304],[201]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-748.5304],[201]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1031.7884],[236]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-985.2037],[197]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-988.1553],[217]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1517.83],[285]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1517.83],[285]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1517.83],[285]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1321.2],[285]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2849.63],[276]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2716.67],[263]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-89.25],[290]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-139.12],[310]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-981.9821],[279]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1402.61],[262]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1402.61],[262]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1402.61],[262]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1349.8159],[297]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2975.54],[288]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3138.7],[305]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-101.99],[281]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-131.15],[281]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-763.8453],[300]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1399.44],[262]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1399.44],[262]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1399.44],[262]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1399.8263],[306]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2887.39],[280]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3078.01],[300]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-102.08],[268]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-122.8424],[291]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-911.5868],[268]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1252.83],[233]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1252.83],[233]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1252.83],[233]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1439.9404],[317]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-3094.33],[301]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3134.91],[305]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-94.3359],[294]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-109.52],[270]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1053.1068],[298]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1363.33],[255]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1363.33],[255]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1363.33],[255]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1360.85],[296]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-2679.23],[260]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-2673.3],[259]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-89.2],[301]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-127.45],[277]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-896.5864],[283]
