model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[146.644544],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-45.281622],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-112.563189],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-104.170233],[80]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-93.8],[78]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-93.8],[78]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-201.022222],[76]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-201.022222],[76]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-201.022222],[76]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[124.593044],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-26.025844],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-136.254556],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-96.214578],[76]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-99.711111],[44]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-99.711111],[44]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-409.191556],[144]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-130.7],[100]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-145.577778],[45]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[138.163344],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-44.764144],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-100.264067],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-102.407189],[70]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-104.688889],[76]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-104.688889],[76]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-158.566667],[39]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-158.566667],[39]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-158.566667],[39]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[132.100944],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-50.562911],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-124.562822],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-106.113078],[99]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-109.455556],[73]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-109.455556],[73]
