model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[138.354144],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-49.412922],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-113.280611],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-109.4509],[64]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-96.933333],[56]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-96.933333],[56]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-149.733333],[56]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-149.733333],[56]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-149.733333],[56]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[99.9453],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-98.351044],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-122.661022],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-102.1079],[116]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-102.188889],[64]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-102.188889],[64]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-167.105756],[56]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-121.511111],[43]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-173.222222],[57]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[142.800944],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-36.377267],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-125.995389],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-100.431811],[108]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-95.455556],[88]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-95.455556],[88]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-195.746211],[95]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-172.655556],[88]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-183.555556],[88]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[152.8137],[500]
