model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-1001.964747],[228]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-558.6887],[101]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-1592.5231],[357]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-524.7716],[113]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-193.489474],[79]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-193.489474],[79]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-624.5196],[106]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-516.2308],[120]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-430.8107],[130]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-971.635453],[248]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-1434.8909],[384]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-1892.5203],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-890.9564],[187]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-251.315789],[104]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-251.315789],[104]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-446.719189],[127]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-403.6502],[93]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-475.0622],[142]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[-565.6226],[135]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-1559.8518],[363]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-1171.7868],[312]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-639.8],[127]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-286.647368],[111]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-286.647368],[111]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-436.6442],[132]
