model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[26.0578],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-16.710067],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-74.498811],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-130.177511],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-92.411111],[500]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-92.411111],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-686.620389],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-626.111111],[500]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-665.911111],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[22.4289],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-3.506167],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-44.000889],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-48.202511],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-96.677778],[500]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-96.677778],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-556.412589],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-188.955556],[500]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-669.155556],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[23.0526],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[0.692],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-31.9812],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-91.877233],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-106.5],[500]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-106.5],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-730.1],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-730.1],[500]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-730.1],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[23.6889],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[3.068778],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-31.433822],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-186.565156],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-76.1],[500]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-76.1],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-530.707156],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-385.3],[500]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-541.8],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[20.1052],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[3.632978],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-20.586444],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-63.556067],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-71.244444],[500]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-71.244444],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-525.344444],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-525.344444],[500]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-525.344444],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-577.92],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-577.92],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-577.92],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1734.7947],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1742.2747],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1742.2747],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2081.9445],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2548.1359],[500]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2845.3572],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-564.34],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-564.34],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-564.34],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1734.7278],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1734.3861],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1734.3861],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1835.5705],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2538.3348],[500]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-3319.3531],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-575.4],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-575.4],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-575.4],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1742.2743],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1734.5259],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1734.5259],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2280.2431],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2534.9941],[500]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2215.2863],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1738.432],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1734.4054],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1734.4054],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2058.353],[500]
