model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[143.6689],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-20.374844],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-160.793344],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-110.1776],[99]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-97.055556],[58]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-97.055556],[58]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-207.455556],[64]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-207.455556],[64]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-207.455556],[64]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[103.807444],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-40.523189],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-139.709856],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-101.915511],[55]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-98.666667],[30]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-98.666667],[30]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-145.922222],[31]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-145.922222],[31]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-145.922222],[31]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[145.163],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-37.645267],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-126.348311],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-103.140633],[101]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-106.511111],[71]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-106.511111],[71]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-267.277778],[101]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-267.277778],[101]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-267.277778],[101]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[136.207367],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-46.070789],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-112.618822],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-101.581756],[64]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-97.566667],[26]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-97.566667],[26]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-215.766667],[62]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-215.766667],[62]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-215.766667],[62]
./logs_dir/TEST_models\PPO\PPO_df_075_18_nodes.zip,[146.174589],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_18_nodes.zip,[-33.917411],[500]
./logs_dir/TEST_models\PPO\PPO_std_18_nodes.zip,[-105.474367],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_18_nodes.zip,[-105.733033],[130]
./logs_dir/TEST_models\A2C\A2C_lr_001_18_nodes.zip,[-101.411111],[71]
./logs_dir/TEST_models\A2C\A2C_std_18_nodes.zip,[-101.411111],[71]
./logs_dir/TEST_models\DQN\DQN_df_075_18_nodes.zip,[-206.777778],[84]
./logs_dir/TEST_models\DQN\DQN_lr_001_18_nodes.zip,[-206.777778],[84]
./logs_dir/TEST_models\DQN\DQN_std_18_nodes.zip,[-206.777778],[84]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-401.6],[308]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-401.6],[308]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-401.6],[308]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1131.9701],[316]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-920.2],[253]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-920.2],[253]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1299.4571],[267]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1628.72],[308]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1914.2541],[285]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-337.66],[250]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-337.66],[250]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-337.66],[250]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-973.3557],[268]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-986.8004],[272]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-986.8004],[272]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1440.7932],[344]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1235.7932],[253]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1652.4901],[258]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-358.24],[277]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-358.24],[277]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-358.24],[277]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1246.8093],[352]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1110.0405],[314]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1110.0405],[314]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1023.2453],[309]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1624.1566],[342]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1510.863],[244]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1098.8441],[306]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1053.0159],[291]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1053.0159],[291]
