Agent,mean,stddev,size,mod
Random,-1174,681,18,noscenario
Random,-4155,720,50,noscenario
Random,-5247,90,100,noscenario
Random,-726,302,18,isolate
Random,-4509,492,50,isolate
Random,-5349,80,100,isolate
Random,-1138,805,18,compromise
Random,-4057,718,50,compromise
Random,-5311,162,100,compromise
Random,-1886,422,18,mix
Random,-4185,917,50,mix
Random,-5326,61,100,mix
Random,-2509,750,18,low_connection
Random,-4075,94,50,low_connection
Random,-4826,264,100,low_connection
Random,-2521,933,18,high_connection
Random,-3195,486,50,high_connection
Random,-4068,576,100,high_connection
Random,-2213,44,18,low_red
Random,-4899,84,50,low_red
Random,-5359,62,100,low_red
Random,-324,96,18,high_red
Random,-2237,155,50,high_red
Random,-3599,527,100,high_red
